logged_at,decision_time,contract_ticker,close_ts,spot,strike,offset_pct,p_market,p_market_source,p_yes_model,z_score,vol_60m,vol_60m_model,vol_implied_kalshi,vol_ratio,spread,vol_eff,structure_bias,confirmation_bias,confirmation_score,no_score,obi_score,obi_raw,obi_exchanges,vpin_score,vpin_raw,funding_bias,avg_funding_rate,vol_score,vwap_score,vwap_signal,vwap_total,vwap_stretch_score,vwap_distance_pct,bearish_rejection,bullish_rejection,ema_stretch_score,stoch_bias,stoch_k,stoch_d,stoch_crossover_active,ema_stack_bias,ema_alignment,z_shift,direction_strength,raw_edge,net_edge,decision,side,neutral_gate,pure_edge_gate,contracts_scanned,tau_minutes,gate_blocked,kelly_fraction,bet_fraction,bet_amount,bankroll,composite_trend,composite_rev,composite_p_up,chg_30m,chg_10m,chg_5m,sharp_move_active,stoch_flipped,resolved_yes,would_win,would_pnl,logged_at_parsed,asset,cmf_raw,cmf_score,p_up_v2,bp_5m,body_15m,dir_15m,p_gbdt,smc_4h,smc_1h,choch_1h,choch_4h,supply_pct,demand_pct,in_supply_zone,in_demand_zone,squeeze_1h,adx_1h,rvol_1h,pm_drift_5m,hour_utc,liq_score,liq_bias,ls_long_pct,oi_chg_pct,markov_regime_daily,ob_imbalance,ob_path_ask_usd,ob_path_bid_usd,ob_ask_frac,ob_bid_wall_pct,ob_ask_wall_pct,spot_at_expiry,price_move_pct,miss_pct,stoch_k_4h,bp_1h,chg_1h,chg_2h,chg_3h,arima_forecast_1h,markov_regime_7state,hmm_vol_state,hmm_r1_prob,hmm_vol_k10,hmm_time_in_state,ou_z_score,ou_halflife_min,ou_tau_drift,hs_pattern_type,hs_bars_since_break,hs_r2,hs_neck_slope,hs_head_height,hs_head_width,flag_signal,flag_bull_bars_ago,flag_bear_bars_ago,flag_bull_tip_y,flag_bear_tip_y,flag_bull_pole_pct,flag_bear_pole_pct,pip_last_slope,pip_up_frac,pip_n_turns,v_hawk,hawk_vol_regime,pc1_rsi,ou_theta,hurst_exponent,autocorr1_15,autocorr1_30,kalman_velocity,kalman_residual,hmm_ms_state,hmm_ms_prob,hmm_of_state,hmm_of_prob,hmm_vd_state,hmm_vd_prob,hmm_pnl_state,hmm_ps_state,hmm_gd_state,hmm_zdrift_state,loss_margin_pct,loss_category,kc_pct_1h,kc_bo_1h,cvd_4h,cg_futures_delta_4h,cg_futures_ratio_4h,cg_futures_cvd_12h,cg_spot_cb_ratio_4h,cg_liq_ratio_4h,cg_liq_total_4h,hl_ls_ratio,hl_squeeze_idx,hl_liq_ratio_4h,all_liq_ratio_1h,all_liq_ratio_4h,max_pain_nearest,max_pain_dist_pct,opt_pc_ratio,p_up_v3,state3,week,yw,be,macro_bull,macro_sideways,macro_bear,garch_ratio,macd_hist_1h_recon,donch_1h_recon,hmm_ms_state_recon,hmm_vd_state_recon,hmm_of_state_recon
2026-04-25 16:11:38,2026-04-25 16:00,KXBTCD-26APR2513-T77499.99,2026-04-25T17:00:00Z,77423.5,77499.99,0.0988,0.34,real,0.525424,0.4247,0.00039286,0.00049826,0.00034446,1.4465,0.02,0.00039829,1.0,0.0,1,0.0,1,0.1315,2.0,0.0,0.4023,0,-1.151e-05,0,0.0,0,1.0,1.0,-0.231,False,False,1.0,0.0,25.67,31.86,False,0,bearish,0.0,0.0,0.185424,0.154716,trade,yes,False,False,99.0,48.3,,0.280945,0.034573,34.57,1000.0,0.0,4.0,0.6159,-0.3646,0.1367,0.0302,False,,False,False,-34.57,2026-04-25 16:11:38+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rising,17,2026-W17,0.34,0.999998936586263,1.036623014108449e-06,2.6790722207187242e-08,0.8305594104571451,-11.393050021005408,0.3144394287823194,5,6,
2026-04-25 16:18:00,2026-04-25 16:00,KXBTCD-26APR2513-T77599.99,2026-04-25T17:00:00Z,77478.6,77599.99,0.1567,0.17,real,0.236641,1.0757,0.00039566,0.00037421,0.00025328,1.4775,0.04,0.0002956,1.0,-1.0,0,0.0,0,-0.0937,2.0,0.0,0.2377,0,-2.008e-05,0,0.0,0,1.0,1.0,-0.1965,False,False,1.0,0.0,31.91,21.22,False,0,bearish,0.0,0.0,0.066641,0.041764,trade,yes,False,False,99.0,41.96,,0.080291,0.040145,40.15,1000.0,0.0,2.0,0.565,-0.1844,0.0643,0.0341,False,,False,False,-40.15,2026-04-25 16:18:00+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rising,17,2026-W17,0.17,0.999998936586263,1.036623014108449e-06,2.6790722207187242e-08,0.8305594104571451,-11.393050021005408,0.3144394287823194,5,6,
2026-04-25 16:23:17,2026-04-25 16:00,KXBTCD-26APR2513-T77399.99,2026-04-25T17:00:00Z,77450.75,77399.99,-0.0655,0.715,real,0.769784,-0.6613,0.00039566,0.00026162,0.00019064,1.3724,0.01,0.00021548,1.0,-1.0,0,1.0,-1,-0.1432,2.0,0.0,0.2397,0,-2.62e-05,0,0.0,0,1.0,1.0,-0.1965,False,False,1.0,0.0,31.91,21.22,False,0,bearish,0.0,0.0,0.054784,0.02552,trade,yes,False,False,97.0,36.66,,0.192225,0.05,50.0,1000.0,0.0,2.0,0.565,0.0532,0.0341,0.0,False,,True,True,19.93,2026-04-25 16:23:17+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rising,17,2026-W17,0.715,0.999998936586263,1.036623014108449e-06,2.6790722207187242e-08,0.8305594104571451,-11.393050021005408,0.3144394287823194,5,6,
2026-04-25 17:02:30,2026-04-25 17:00,KXBTCD-26APR2514-T77399.99,2026-04-25T18:00:00Z,77404.59,77399.99,-0.0059,0.505,real,0.612245,-0.0215,0.00047856,0.00037225,0.00062603,0.5946,0.01,0.00053721,1.0,0.0,1,0.0,1,0.3709,2.0,0.0,0.7356,0,-3.689e-05,1,0.0,0,1.0,1.0,-0.2681,False,False,0.0,0.0,38.22,35.58,False,-1,bearish,0.0,0.0,0.107245,0.074747,trade,yes,False,False,97.0,57.46,,0.216656,0.05,50.0,1000.0,0.0,1.0,0.5528,-0.0279,-0.0113,0.0,False,,False,False,-50.0,2026-04-25 17:02:30+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rising,17,2026-W17,0.505,0.999999148297086,8.507943926835959e-07,9.085220599792455e-10,0.7737593106810728,-25.472977812709654,0.1203191096726485,5,6,
2026-04-25 17:08:53,2026-04-25 17:00,KXBTCD-26APR2514-T77499.99,2026-04-25T18:00:00Z,77390.5,77499.99,0.1415,0.17,real,0.236641,1.3379,0.00044933,0.00023622,0.00020733,1.1394,0.02,0.00021744,1.0,1.0,2,0.0,1,0.1674,2.0,0.0,0.6632,0,-3.742e-05,1,-1.0,1,2.0,2.0,-0.2854,False,False,0.0,0.0,35.81,34.78,False,-1,bearish,0.0,0.0,0.066641,0.041764,trade,yes,False,False,97.0,51.07,,0.080291,0.040145,40.15,1000.0,0.0,2.0,0.565,0.2551,-0.0181,-0.0219,False,,False,False,-40.15,2026-04-25 17:08:53+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rising,17,2026-W17,0.17,0.999999148297086,8.507943926835959e-07,9.085220599792455e-10,0.7737593106810728,-25.472977812709654,0.1203191096726485,5,6,
2026-04-25 17:17:23,2026-04-25 17:00,KXBTCD-26APR2514-T77299.99,2026-04-25T18:00:00Z,77356.0,77299.99,-0.0724,0.73,real,0.769784,-0.7435,0.00044842,0.00022493,0.00018117,1.2416,0.02,0.00019649,1.0,0.0,1,1.0,-1,-0.1164,2.0,0.0,0.6121,0,-3.803e-05,1,-1.0,1,2.0,2.0,-0.3536,False,False,1.0,0.0,26.68,32.27,False,-1,bearish,0.0,0.0,0.039784,0.010987,trade,yes,False,False,98.0,42.57,,0.147349,0.05,50.0,1000.0,0.0,2.0,0.565,-0.0271,-0.0445,-0.0391,False,,False,False,-50.0,2026-04-25 17:17:23+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rising,17,2026-W17,0.73,0.999999148297086,8.507943926835959e-07,9.085220599792455e-10,0.7737593106810728,-25.472977812709654,0.1203191096726485,5,6,
2026-05-03 04:00:17,2026-05-03 04:00,KXBTCD-26MAY0301-T78299.99,2026-05-03T05:00:00Z,78191.7,78299.99,0.1385,0.1,real,0.188031,1.7729,0.00016728,0.00017645,0.0001398,1.2622,0.02,0.00014861,1.0,0.0,1,0.0,0,-0.0992,2.0,0.0,0.6762,0,-3.21e-06,0,0.0,0,0.0,0.0,-0.0137,False,False,0.0,1.0,17.79,18.03,False,-1,neutral,0.0,0.0,0.088031,0.066731,trade,yes,False,False,57.0,59.67,,0.097813,0.048906,19.56,400.0,0.0,5.0,0.5905,0.0792,-0.0089,-0.0136,False,,False,False,-19.56,2026-05-03 04:00:17+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rising,18,2026-W18,0.1,0.9999968436689743,2.3783442756903763e-06,7.779867553418679e-07,0.630003646775885,-72.52263530394114,0.062833636276661,5,6,
2026-05-03 04:05:37,2026-05-03 04:00,KXBTCD-26MAY0301-T78099.99,2026-05-03T05:00:00Z,78170.21,78099.99,-0.0898,0.74,real,0.855238,-1.0865,0.00015865,0.00011096,0.00018951,0.5855,0.01,0.00016502,1.0,0.0,1,0.0,0,-0.0363,2.0,0.0,0.6586,0,-1.079e-05,0,0.0,0,0.0,0.0,-0.0249,False,False,0.0,1.0,16.13,17.48,False,-1,neutral,0.0,0.0,0.115238,0.08677,trade,yes,False,False,100.0,54.34,,0.443222,0.05,20.0,400.0,0.0,5.0,0.5905,0.0101,-0.0248,-0.0113,False,,True,True,7.03,2026-05-03 04:05:37+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rising,18,2026-W18,0.74,0.9999968436689743,2.3783442756903763e-06,7.779867553418679e-07,0.630003646775885,-72.52263530394114,0.062833636276661,5,6,
2026-05-03 04:10:55,2026-05-03 04:00,KXBTCD-26MAY0301-T78199.99,2026-05-03T05:00:00Z,78126.13,78199.99,0.0945,0.3,real,0.504759,0.7779,0.00017963,0.00018705,0.00025734,0.7269,0.01,0.00022826,1.0,0.0,1,0.0,0,-0.0874,2.0,0.0,0.6584,0,-1.084e-05,0,0.0,0,1.0,1.0,-0.1223,False,False,0.0,1.0,1.71,12.67,False,-1,neutral,0.0,0.0,0.204759,0.175059,trade,yes,False,False,100.0,49.04,,0.292513,0.045784,18.31,400.0,0.0,9.0,0.6667,-0.1132,-0.1092,-0.098,False,,False,False,-18.31,2026-05-03 04:10:55+00:00,BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rising,18,2026-W18,0.3,0.9999968436689743,2.3783442756903763e-06,7.779867553418679e-07,0.630003646775885,-72.52263530394114,0.062833636276661,5,6,
2026-05-26 18:00:18+00:00,2026-05-26 18:00,KXBTCD-26MAY2615-T75699.99,2026-05-26T19:00:00Z,75777.23,75699.99,-0.1019,0.61,real,0.676039,-0.303,0.00055276,0.00056129,0.00047278,1.1872,0.01,0.00051881,1.0,1.0,2,1.0,0,-0.0925,2.0,0.0,0.1922,-1,9.674e-05,-1,-1.0,1,2.0,2.0,-1.2651,False,False,1.0,1.0,8.03,6.24,True,-1,bearish,0.0,0.0,0.051039,0.019386,trade,yes,False,False,90.0,59.64,,0.130869,0.04158,41.58,1000.0,-4.0,10.0,0.4627,-0.0192,-0.1739,-0.1027,False,,True,True,26.58,2026-05-26 18:00:18+00:00,BTC,,0.0,0.4632,0.0,0.3193,-1.0,0.8178,bearish,bearish,False,True,3.456,3.262,False,False,True,16.87,0.0,,18.0,1.0,1.0,55.37,-0.3783,,-1.0,18062902.81,0.0,0.001741,-0.00119,0.00105,75832.71,0.0732,0.1753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,win,,,,,,,,,,,,,,,,,,,rising,22,2026-W22,0.61,0.9995437437193584,1.0938913374897602e-06,0.0004551623893106,1.38417874087962,-112.16412189241484,0.0148209522627969,7,4,0.0
2026-05-26 18:22:04+00:00,2026-05-26 18:00,KXBTCD-26MAY2615-T75999.99,2026-05-26T19:00:00Z,76083.47,75999.99,-0.1097,0.65,real,0.734144,-0.4437,0.00053318,0.00046185,0.00046291,0.9977,0.01,0.0004786,1.0,0.0,1,1.0,0,-0.0608,2.0,0.0,0.2036,-1,9.698e-05,-1,-1.0,1,2.0,2.0,-0.9744,False,False,0.0,0.0,28.59,14.18,False,-1,bearish,0.0,0.0,0.069144,0.038219,trade,yes,False,False,92.0,37.88,,0.197553,0.05,50.0,1000.0,-4.0,4.0,0.4653,0.1766,0.2442,0.1486,False,,False,False,-50.0,2026-05-26 18:22:04+00:00,BTC,,0.0,0.4063,0.9804,0.1628,1.0,0.7821,bullish,bearish,False,True,3.039,3.651,False,False,True,16.87,0.0431,0.3,18.0,1.0,1.0,55.7,0.0469,,-1.0,19612169.8,0.0,0.001792,-0.00125,0.0007,75832.71,-0.3296,-0.2201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2201,marginal,,,,,,,,,,,,,,,,,,,rising,22,2026-W22,0.65,0.9995437437193584,1.0938913374897602e-06,0.0004551623893106,1.38417874087962,-112.16412189241484,0.0148209522627969,7,4,0.0
