feature,split,n_rescued,wr_rescued,edge_rescued,pnl_rescued,n_weeks,worst_wk_share,edge_remainder,n_remainder,pnl_remainder
chg_5m,<-0.0988(q0.2),10,0.4,-0.36150000000000004,-279.62,4,56.123647604327665,-0.12731707317073165,41,-468.12000000000006
chg_5m,>=-0.0739(q0.3),35,0.4857142857142857,-0.0997142857142857,-327.28,9,27.456356674670644,-0.33406249999999993,16,-420.46000000000004
chg_5m,<-0.0739(q0.3),16,0.375,-0.33406249999999993,-420.46000000000004,6,41.937401893164626,-0.0997142857142857,35,-327.28
chg_5m,>=-0.0136(q0.4),31,0.45161290322580644,-0.14000000000000007,-398.91,9,34.44719657734744,-0.22474999999999995,20,-348.8300000000001
chg_5m,<-0.0136(q0.4),20,0.45,-0.22474999999999995,-348.8300000000001,8,32.109623964308476,-0.14000000000000007,31,-398.91
chg_5m,>=0.001(q0.5),26,0.46153846153846156,-0.09192307692307689,-328.87,9,38.390243086343325,-0.2578,25,-418.87
chg_5m,<0.001(q0.5),25,0.44,-0.2578,-418.87,8,29.921433540920738,-0.09192307692307689,26,-328.87
chg_5m,>=0.0216(q0.6),20,0.45,-0.10100000000000015,-254.35999999999999,7,44.15244649759592,-0.2198387096774193,31,-493.38
chg_5m,<0.0216(q0.6),31,0.45161290322580644,-0.2198387096774193,-493.38,8,27.980077841546276,-0.10100000000000015,20,-254.35999999999999
chg_5m,>=0.0482(q0.7),16,0.375,-0.156875,-253.67000000000002,7,34.937985076489234,-0.18071428571428566,35,-494.07
chg_5m,<0.0482(q0.7),35,0.4857142857142857,-0.18071428571428566,-494.07,9,31.200691468819535,-0.156875,16,-253.67000000000002
chg_5m,>=0.062(q0.8),11,0.18181818181818182,-0.3118181818181819,-296.45,5,42.45863012214609,-0.13512500000000005,40,-451.28999999999996
chg_5m,<0.062(q0.8),40,0.525,-0.13512500000000005,-451.28999999999996,9,32.25291333193924,-0.3118181818181819,11,-296.45
choch_1h,==False,27,0.4074074074074074,-0.2,-533.49,6,42.518467926020456,-0.24821428571428578,42,-655.2299999999999
choch_4h,==True,10,0.4,-0.19599999999999995,-226.95000000000005,3,67.91017892166674,-0.235,59,-961.7700000000001
choch_4h,==False,12,0.5,-0.20833333333333337,-193.22999999999996,3,53.33989593587399,-0.23377192982456135,57,-995.4899999999999
cmf_score,==0.0,33,0.42424242424242425,-0.15454545454545449,-585.3900000000001,6,27.000015914190683,-0.29791666666666666,36,-603.33
composite_p_up,>=0.3522(q0.2),55,0.41818181818181815,-0.23772727272727273,-935.8300000000002,10,27.014768829548995,-0.19642857142857145,14,-252.89000000000001
