logged_at,decision_time,asset,contract_ticker,close_time,spot,floor_strike,offset_pct,tau_minutes,spread,p_market,p_model_15m,raw_edge,side,decision,z_score,bp_5m,body_5m,dir_5m,vol_ratio,vol_ratio_5m,body_15m,bp_15m,dir_15m,upper_wick_15m,lower_wick_15m,atr_ratio_15m,range_ratio_15m,consec_dir_15m,stoch_k_5m,stoch_k_15m,chg_1m,chg_5m,chg_15m,vwap_dist,ema_bias,ema_bias_1h,ema20_dist_1h,ema50_dist_1h,nearest_res_dist_pct,composite_p_up,realized_vol_annual,vol_ratio_1h,bp_1h,chg_1h,dir_1h,consec_dir_1h,stoch_k_1h,stoch_cross_1h,rsi_1h,macd_hist_1h,donchian_breakout_1h,engulfing_1h,bb_pct_1h,mu6h,mu12h,mu24h,regime_z,arima_forecast_1h,stoch_k_4h,rsi_4h,chg_4h,bp_4h,liq_score,liq_bias,oi_chg_pct,ls_long_pct,fear_greed,cg_composite,kelly_fraction,bet_fraction,bet_amount,bankroll,resolved_yes,would_win,would_pnl,spot_at_expiry,price_move_pct,miss_pct,markov_regime_1h,markov_regime_15m,markov_eth_daily,markov_sol_6h,markov_sol_4h,markov_sol_1h,p_up_v2_btc,z_drift_6h,p_gbdt,autocorr1_15,autocorr1_30,hurst_exponent,ou_theta,ou_halflife,ou_mu_distance,kalman_velocity,kalman_residual,kc_pct_1h,kc_bo_1h,cvd_4h,cg_futures_delta_4h,cg_futures_ratio_4h,cg_futures_cvd_12h,vwap_hmm_state,p_up_v3,v3_agree,logged_at_parsed,p_w15,agree,week
2026-06-13 08:47:24.951318+00:00,2026-06-13T08:47:24.935150+00:00,BTC,KXBTC15M-26JUN130500-00,2026-06-13 09:00:00+00:00,63836.4837,63848.0,-0.018,12.59,0.01,0.455,0.1982,0.2568,no,trade,0.2243,0.0,1.0,-1.0,0.024,1.0,0.9568,0.9568,1,0.0432,0.0,0.000892,2.0193,-1.0,89.08,96.55,0.0,-0.0119,0.0428,0.0875,1,,0.1386,,999.0,,0.1643,,0.6329,0.1031,1,4.0,75.38,,49.19,,,0,0.7694,-7e-07,0.0002735,-0.00017,0.2273,,,,0.3937,0.8182,1.0,0.8217,-0.05,60.46,14.0,1.0,0.5644,0.0452,45.23,1000.0,0.0,True,37.76,63821.55,-0.0234,-0.0414,Sideways,Bull,Bear,Sideways,Bull,Sideways,,1.5346,0.1982,,,,,,,,,0.7063,0.0,16173.4,37191441.35020006,1.063164972080496,68698085.8258,,,,2026-06-13 08:47:24.951318+00:00,0.4787324118948313,True,24
2026-06-13 09:12:41.141241+00:00,2026-06-13T09:12:41.127815+00:00,BTC,KXBTC15M-26JUN130515-15,2026-06-13 09:15:00+00:00,63770.5988,63778.94,-0.0131,2.32,0.01,0.585,0.1667,0.4183,no,trade,0.4641,1.0,1.0,1.0,0.005,1.0,0.8459,0.1541,-1,0.0,0.1541,0.000951,0.9995,1.0,47.84,83.54,0.0,0.0,0.0061,0.0074,1,,0.1411,,999.0,,0.1342,,0.4447,-0.0171,-1,5.0,86.65,0.0,55.57,,,0,0.77,0.0004419,0.0004663,-0.0001485,0.2193,,,,0.3937,0.8182,0.0,0.0,-0.0117,60.4,14.0,1.0,0.7151,0.0572,57.27,1000.0,0.0,True,80.73,63810.97,0.0633,0.0502,Bull,Bull,Bear,Sideways,Bull,Sideways,,1.5235,0.1667,,,,,,,,,0.7063,0.0,16173.4,37191441.35020006,1.063164972080496,68698085.8258,,,,2026-06-13 09:12:41.141241+00:00,0.50920252502043,False,24
2026-06-13 09:22:50.870385+00:00,2026-06-13T09:22:50.843956+00:00,BTC,KXBTC15M-26JUN130530-30,2026-06-13 09:30:00+00:00,63817.8088,63778.83,0.0611,7.16,0.01,0.845,0.9581,0.1131,yes,trade,-2.0174,0.5,0.0,0.0,0.069,1.0,0.1142,1.0,1,0.0,0.8858,0.000967,0.5492,-1.0,35.29,74.59,0.0,0.0,-0.0226,-0.0208,-1,,0.1411,,999.0,,0.0821,,0.4447,-0.0171,-1,5.0,86.65,0.0,55.57,,,0,0.77,0.0004419,0.0004663,-0.0001485,0.2193,,,,0.3937,0.8182,1.0,1.0,0.0389,60.33,14.0,1.0,0.7296,0.0584,58.3,1000.0,1.0,True,10.69,63808.39,-0.0148,0.0463,Bull,Bull,Bear,Sideways,Bull,Sideways,,1.5506,0.9485,,,,,,,,,0.7063,0.0,16173.4,37191441.35020006,1.063164972080496,68698085.8258,,,,2026-06-13 09:22:50.870385+00:00,0.48353588176122203,False,24
2026-06-13 09:38:00.980724+00:00,2026-06-13T09:38:00.967443+00:00,BTC,KXBTC15M-26JUN130545-45,2026-06-13 09:45:00+00:00,63761.2487,63786.54,-0.0396,6.99,0.01,0.315,0.1183,0.1967,no,trade,3.4177,0.5,0.0,0.0,0.0,1.0,0.9117,0.0,-1,0.0883,0.0,0.000903,0.0491,0.0,33.05,73.09,0.0,0.0,-0.004,-0.0173,-1,,0.1411,,999.0,,0.0318,,0.4447,-0.0171,-1,5.0,86.65,0.0,55.57,,,0,0.77,0.0004419,0.0004663,-0.0001485,0.2193,,,,0.3937,0.8182,1.0,1.0,0.0447,60.3,14.0,1.0,0.6244,0.05,50.01,1000.0,0.0,True,23.0,63810.75,0.0776,0.038,Bull,Sideways,Bear,Sideways,Bull,Sideways,,1.5477,0.1183,,,,,,,,,0.7063,0.0,16173.4,37191441.35020006,1.063164972080496,68698085.8258,,,,2026-06-13 09:38:00.980724+00:00,0.444342243491931,True,24
2026-06-13 09:48:06.929150+00:00,2026-06-13T09:48:06.915633+00:00,BTC,KXBTC15M-26JUN130600-00,2026-06-13 10:00:00+00:00,63762.3063,63776.59,-0.0224,11.89,0.01,0.395,0.1667,0.2283,no,trade,1.8785,1.0,1.0,1.0,0.195,1.0,1.0,1.0,1,0.0,0.0,0.000898,0.0412,0.0,21.62,62.54,0.0,0.0,0.0037,-0.0169,1,,0.1866,,999.0,,0.0251,,0.4447,-0.0171,-1,5.0,86.65,,55.57,,,0,0.8532,0.0004419,0.0004663,-8.9e-06,0.2471,,,,0.3937,0.8182,1.0,1.0,0.0249,60.3,14.0,1.0,0.5781,0.0462,45.98,1000.0,0.0,True,30.02,63743.45,-0.0296,-0.052,Bull,Sideways,Bear,Sideways,Bull,Sideways,,1.6715,0.1667,,,,,,,,,0.5705,0.0,4670.11,37191441.35020006,1.063164972080496,68698085.8258,,,,2026-06-13 09:48:06.929150+00:00,0.47080585490287,True,24
2026-06-13 10:08:20.278262+00:00,2026-06-13T10:08:20.261830+00:00,BTC,KXBTC15M-26JUN130615-15,2026-06-13 10:15:00+00:00,63739.8163,63712.97,0.0421,6.67,0.01,0.875,0.9515,0.0765,yes,trade,-1.1764,1.0,1.0,1.0,2.002,1.0,1.0,0.0,-1,0.0,0.0,0.000877,1.2042,1.0,21.89,37.52,0.0,0.0,0.0122,-0.074,-1,,0.0579,,999.0,,0.1005,,0.0,-0.1224,-1,-1.0,70.34,-1.0,56.63,,,0,0.6841,0.0004798,0.000312,-8.49e-05,0.0772,,,,0.3937,0.8182,1.0,1.0,0.0281,60.25,14.0,1.0,0.6118,0.0489,49.0,1000.0,1.0,True,7.0,63761.39,0.0338,0.076,Sideways,Sideways,Bear,Sideways,Bull,Sideways,,1.6143,0.9496,,,,,,,,,0.5705,0.0,4670.11,37191441.35020006,1.063164972080496,68698085.8258,,,,2026-06-13 10:08:20.278262+00:00,0.49198039364161733,False,24
2026-06-13 10:18:25.941515+00:00,2026-06-13T10:18:25.927371+00:00,BTC,KXBTC15M-26JUN130630-30,2026-06-13 10:30:00+00:00,63725.6488,63748.34,-0.0356,11.57,0.01,0.385,0.1771,0.2079,no,trade,1.5528,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1,0.0,0.0,0.000891,0.3157,0.0,21.89,35.67,0.0,0.0,0.0,-0.0738,-1,,0.0579,,999.0,,0.0489,,0.0,-0.1224,-1,-1.0,70.34,-1.0,56.63,,,0,0.6841,0.0004798,0.000312,-8.49e-05,0.0772,,,,0.3937,0.8182,1.0,1.0,-0.0103,60.25,14.0,1.0,0.5399,0.0432,43.05,1000.0,0.0,True,26.95,63779.04,0.0838,0.0482,Sideways,Sideways,Bear,Sideways,Bull,Sideways,,1.5848,0.1771,,,,,,,,,0.5705,0.0,4670.11,37191441.35020006,1.063164972080496,68698085.8258,,,,2026-06-13 10:18:25.941515+00:00,0.48353588176122203,True,24
2026-06-13 10:33:35.301757+00:00,2026-06-13T10:33:35.285098+00:00,BTC,KXBTC15M-26JUN130645-45,2026-06-13 10:45:00+00:00,63786.5612,63746.23,0.0633,11.42,0.01,0.825,0.9323,0.1073,yes,trade,-1.1251,1.0,1.0,1.0,0.259,1.0,1.0,1.0,1,0.0,0.0,0.000865,0.6375,3.0,83.21,45.01,0.0,0.0051,0.0603,-0.0062,1,,0.0579,,999.0,,0.1206,,0.0,-0.1224,-1,-1.0,70.34,-1.0,56.63,,,0,0.6841,0.0004798,0.000312,-8.49e-05,0.0772,,,,0.3937,0.8182,1.0,1.0,0.0238,60.24,14.0,1.0,0.6134,0.0491,48.67,1000.0,1.0,True,10.32,63876.28,0.1407,0.204,Sideways,Sideways,Bear,Sideways,Bull,Sideways,,1.6493,0.9373,,,,,,,,,0.5705,0.0,4670.11,37191441.35020006,1.063164972080496,68698085.8258,,,,2026-06-13 10:33:35.301757+00:00,0.4657726233872089,False,24
2026-06-13 11:19:06.670929+00:00,2026-06-13T11:19:06.652210+00:00,BTC,KXBTC15M-26JUN130730-30,2026-06-13 11:30:00+00:00,63910.7188,63894.54,0.0253,10.89,0.01,0.685,0.8002,0.1152,yes,trade,-0.2227,1.0,1.0,1.0,1.027,1.0,1.0,1.0,1,0.0,0.0,0.000922,1.8402,2.0,97.12,97.37,0.0,0.0338,0.2038,0.208,1,,0.1947,,999.0,,0.2497,,0.5277,0.116,1,1.0,84.91,1.0,67.44,,,0,0.8427,0.0006715,0.0003881,0.0001151,0.2151,,,,0.3937,0.8182,1.0,1.0,0.0267,60.18,14.0,1.0,0.3658,0.0293,29.46,1000.0,1.0,True,13.55,63957.34,0.0729,0.0983,Sideways,Bull,Bear,Sideways,Bull,Sideways,,1.6731,0.7896,,,,,,,,,0.6705,0.0,-302.47,37191441.35020006,1.063164972080496,68698085.8258,,,,2026-06-13 11:19:06.670929+00:00,0.48712145914346877,False,24
2026-06-13 11:49:27.505966+00:00,2026-06-13T11:49:27.489778+00:00,BTC,KXBTC15M-26JUN130800-00,2026-06-13 12:00:00+00:00,63874.5762,63881.66,-0.0111,10.55,0.01,0.465,0.1982,0.2668,no,trade,0.1789,0.5,0.0,0.0,0.0,1.0,0.4024,0.4802,-1,0.1173,0.4802,0.000859,0.8059,-2.0,53.49,68.65,-0.055,-0.055,-0.0217,0.0676,-1,,0.226,,999.0,,0.1384,,0.5277,0.116,1,1.0,84.91,,67.44,,,0,0.8393,0.0006715,0.0003881,0.0002261,0.2345,,,,0.3937,0.8182,0.0,0.0,-0.0114,60.12,14.0,1.0,0.5738,0.0459,46.01,1000.0,1.0,False,-46.01,63964.13,0.1402,0.1291,Sideways,Sideways,Bear,Sideways,Bull,Sideways,,1.6005,0.1982,,,,,,,,,0.8513,0.0,9613.05,121578075.17729998,1.1456759351950174,221545830.66510004,,,,2026-06-13 11:49:27.505966+00:00,0.5054330781345144,False,24
2026-06-13 12:04:36.574431+00:00,2026-06-13T12:04:36.560708+00:00,BTC,KXBTC15M-26JUN130815-15,2026-06-13 12:15:00+00:00,63923.9088,63933.74,-0.0154,10.39,0.01,0.425,0.2161,0.2089,no,trade,0.1954,0.8672,0.8672,1.0,3.66,1.0,0.312,0.8757,1,0.1243,0.5637,0.000886,1.1006,2.0,89.78,93.11,0.0,0.0014,0.0869,0.1292,1,,0.3981,,999.0,,0.177,,0.8919,0.2138,1,2.0,96.91,0.0,70.28,,,0,1.0108,0.0009361,0.0004798,0.0003454,0.4268,,50.0,50.0,0.1901,0.9271,1.0,1.0,-0.0133,60.09,14.0,1.0,0.4916,0.0393,39.1,1000.0,0.0,True,28.9,63944.81,0.0327,0.0173,Sideways,Sideways,Bear,Sideways,Bull,Sideways,,1.5943,0.2161,,,,,,,,,0.8513,0.0,9613.05,121578075.17729998,1.1456759351950174,221545830.66510004,,,,2026-06-13 12:04:36.574431+00:00,0.47858419208768754,True,24
2026-06-13 13:35:35.817840+00:00,2026-06-13T13:35:35.804057+00:00,BTC,KXBTC15M-26JUN130945-45,2026-06-13 13:45:00+00:00,64183.0613,64189.6,-0.0102,9.41,0.01,0.465,0.1982,0.2668,no,trade,0.0907,0.0318,0.9682,-1.0,0.693,1.0,0.5114,1.0,1,0.0,0.4886,0.001247,1.4772,-1.0,69.48,79.89,0.0,-0.0717,0.1126,0.0441,1,,0.6611,,999.0,,0.2655,,0.5685,0.2724,1,3.0,81.27,-1.0,74.22,,,0,1.1134,0.0010261,0.0006697,0.0006593,0.6736,,,,0.1901,0.9271,0.0,0.0,0.1753,59.57,14.0,1.0,0.5738,0.0459,46.01,1000.0,0.0,True,39.99,64159.58,-0.0366,-0.0468,Sideways,Bull,Bear,Sideways,Bull,Sideways,,1.0715,0.1982,,,,,,,,,1.0334,1.0,225260.76,121578075.17729998,1.1456759351950174,221545830.66510004,,,,2026-06-13 13:35:35.817840+00:00,0.48097278575875857,True,24
2026-06-13 14:05:54.997932+00:00,2026-06-13T14:05:54.971337+00:00,BTC,KXBTC15M-26JUN131015-15,2026-06-13 14:15:00+00:00,64121.9912,64074.15,0.0747,9.09,0.01,0.795,0.9007,0.1057,yes,trade,-0.7227,1.0,1.0,1.0,0.064,1.0,0.6128,0.2108,-1,0.1764,0.2108,0.001383,1.2689,1.0,54.26,71.18,0.0061,0.1104,0.0318,-0.0216,1,,0.5185,,999.0,,0.2484,,0.1362,-0.0422,-1,-1.0,75.27,0.0,70.05,,,0,0.9625,0.00073,0.0003647,0.0005734,0.4787,,,,0.1901,0.9271,0.0,0.0,0.0999,59.06,14.0,1.0,0.5155,0.0412,41.34,1000.0,1.0,True,10.66,64172.23,0.0783,0.1531,Sideways,Bull,Bear,Sideways,Bull,Sideways,,1.0703,0.8946,,,,,,,,,0.8734,0.0,222232.18,121578075.17729998,1.1456759351950174,221545830.66510004,,,,2026-06-13 14:05:54.997932+00:00,0.49523946885789816,False,24
