feature,split,n_rescued,wr_rescued,edge_rescued,pnl_rescued,n_weeks,worst_wk_share,edge_remainder,n_remainder,pnl_remainder
stoch_crossover_active,==True,21,0.42857142857142855,-0.13404761904761925,-167.26,2,69.5145282793256,-0.22231707317073163,123,-2066.64
stoch_crossover_active,==False,61,0.32786885245901637,-0.20418032786885248,-946.7199999999999,3,48.85182524928173,-0.21331325301204818,83,-1287.1800000000003
stoch_d,>=7.666(q0.1),129,0.34108527131782945,-0.2166279069767441,-2076.48,8,34.790125597164426,-0.14766666666666672,15,-157.42000000000002
stoch_d,<7.666(q0.1),15,0.4666666666666667,-0.14766666666666672,-157.42000000000002,4,35.76313040174755,-0.2166279069767441,129,-2076.48
stoch_d,>=13.15(q0.2),115,0.33043478260869563,-0.22213043478260863,-1887.6200000000001,8,37.300939807800304,-0.1591379310344827,29,-346.28000000000003
stoch_d,<13.15(q0.2),29,0.4482758620689655,-0.1591379310344827,-346.28000000000003,6,40.50707258577651,-0.22213043478260863,115,-1887.6200000000001
stoch_d,>=19.33(q0.3),101,0.3069306930693069,-0.24767326732673273,-1846.7999999999997,7,37.37703884311418,-0.11965116279069771,43,-387.1000000000001
stoch_d,<19.33(q0.3),43,0.46511627906976744,-0.11965116279069771,-387.1000000000001,7,38.072265432706516,-0.24767326732673273,101,-1846.7999999999997
stoch_d,>=21.36(q0.4),86,0.3023255813953488,-0.26924418604651157,-1632.8599999999997,6,35.774672902729264,-0.12077586206896562,58,-601.04
stoch_d,<21.36(q0.4),58,0.43103448275862066,-0.12077586206896562,-601.04,8,32.19920136161299,-0.26924418604651157,86,-1632.8599999999997
stoch_d,>=28.23(q0.5),72,0.3055555555555556,-0.28916666666666657,-1380.25,5,36.35138561854737,-0.12972222222222218,72,-853.65
stoch_d,<28.23(q0.5),72,0.4027777777777778,-0.12972222222222218,-853.65,8,51.63278162762728,-0.28916666666666657,72,-1380.25
stoch_d,>=36.1(q0.6),58,0.25862068965517243,-0.34534482758620694,-1274.2,5,38.75686705383771,-0.11779069767441858,86,-959.6999999999999
stoch_d,<36.1(q0.6),86,0.4186046511627907,-0.11779069767441858,-959.6999999999999,8,38.21979368808089,-0.34534482758620694,58,-1274.2
stoch_d,>=46.1(q0.7),44,0.2727272727272727,-0.3360227272727273,-993.58,5,39.63847903540731,-0.15374999999999994,100,-1240.32
stoch_d,<46.1(q0.7),100,0.39,-0.15374999999999994,-1240.32,8,36.61380149153411,-0.3360227272727273,44,-993.58
stoch_d,>=51.21(q0.8),29,0.20689655172413793,-0.4139655172413792,-782.1800000000001,4,42.07087882584572,-0.15786956521739132,115,-1451.7199999999998
stoch_d,<51.21(q0.8),115,0.391304347826087,-0.15786956521739132,-1451.7199999999998,8,32.87820302233903,-0.4139655172413792,29,-782.1800000000001
