ts,contract_ticker,p_market,tau_minutes,offset_pct,resolved_yes,d15,dir15
2026-07-07 18:17:30+00:00,KXBTCD-26JUL0715-T63799.99,0.805,42.3,-0.002674,0.0,0.09180000000000006,1.0
2026-07-07 18:17:30+00:00,KXBTCD-26JUL0715-T63899.99,0.615,42.3,-0.001111,0.0,0.09180000000000006,1.0
2026-07-07 18:17:30+00:00,KXBTCD-26JUL0715-T63999.99,0.375,42.3,0.000453,0.0,0.09180000000000006,1.0
2026-07-07 18:17:30+00:00,KXBTCD-26JUL0715-T64099.99,0.205,42.3,0.002016,0.0,0.09180000000000006,1.0
2026-07-07 18:17:30+00:00,KXBTCD-26JUL0715-T64199.99,0.085,42.3,0.003579,0.0,0.09180000000000006,1.0
2026-07-07 18:17:30+00:00,KXBTCD-26JUL0715-T64299.99,0.035,42.3,0.005142,0.0,0.09180000000000006,1.0
2026-07-07 18:19:00+00:00,KXBTCD-26JUL0715-T64299.99,0.035,40.8,0.00532,0.0,0.3055999999999999,1.0
2026-07-07 18:19:00+00:00,KXBTCD-26JUL0715-T64199.99,0.095,40.8,0.003757,0.0,0.3055999999999999,1.0
2026-07-07 18:19:00+00:00,KXBTCD-26JUL0715-T64099.99,0.215,40.8,0.002193,0.0,0.3055999999999999,1.0
2026-07-07 18:19:00+00:00,KXBTCD-26JUL0715-T63999.99,0.435,40.8,0.00063,0.0,0.3055999999999999,1.0
2026-07-07 18:19:00+00:00,KXBTCD-26JUL0715-T63899.99,0.675,40.8,-0.000934,0.0,0.3055999999999999,1.0
2026-07-07 18:19:00+00:00,KXBTCD-26JUL0715-T63799.99,0.845,40.8,-0.002497,0.0,0.3055999999999999,1.0
2026-07-07 18:19:00+00:00,KXBTCD-26JUL0715-T63699.99,0.935,40.8,-0.004061,0.0,0.3055999999999999,1.0
2026-07-07 18:20:14+00:00,KXBTCD-26JUL0715-T63799.99,0.925,39.6,-0.003708,0.0,0.3055999999999999,1.0
2026-07-07 18:20:14+00:00,KXBTCD-26JUL0715-T63899.99,0.815,39.6,-0.002146,0.0,0.3055999999999999,1.0
2026-07-07 18:20:14+00:00,KXBTCD-26JUL0715-T63999.99,0.635,39.6,-0.000584,0.0,0.3055999999999999,1.0
2026-07-07 18:20:14+00:00,KXBTCD-26JUL0715-T64099.99,0.395,39.6,0.000977,0.0,0.3055999999999999,1.0
2026-07-07 18:20:14+00:00,KXBTCD-26JUL0715-T64199.99,0.195,39.6,0.002539,0.0,0.3055999999999999,1.0
2026-07-07 18:20:14+00:00,KXBTCD-26JUL0715-T64299.99,0.085,39.6,0.0041,0.0,0.3055999999999999,1.0
2026-07-07 18:20:14+00:00,KXBTCD-26JUL0715-T64399.99,0.035,39.6,0.005662,0.0,0.3055999999999999,1.0
2026-07-07 18:21:26+00:00,KXBTCD-26JUL0715-T64299.99,0.085,38.3,0.003982,0.0,0.3055999999999999,1.0
2026-07-07 18:21:26+00:00,KXBTCD-26JUL0715-T64199.99,0.185,38.3,0.002421,0.0,0.3055999999999999,1.0
2026-07-07 18:21:26+00:00,KXBTCD-26JUL0715-T64099.99,0.375,38.3,0.00086,0.0,0.3055999999999999,1.0
2026-07-07 18:21:26+00:00,KXBTCD-26JUL0715-T64399.99,0.035,38.3,0.005544,0.0,0.3055999999999999,1.0
2026-07-07 18:21:26+00:00,KXBTCD-26JUL0715-T63899.99,0.815,38.3,-0.002263,0.0,0.3055999999999999,1.0
2026-07-07 18:21:26+00:00,KXBTCD-26JUL0715-T63799.99,0.925,38.4,-0.003825,0.0,0.3055999999999999,1.0
2026-07-07 18:21:26+00:00,KXBTCD-26JUL0715-T63999.99,0.615,38.3,-0.000702,0.0,0.3055999999999999,1.0
2026-07-07 18:22:40+00:00,KXBTCD-26JUL0715-T63799.99,0.945,37.1,-0.003978,0.0,0.3055999999999999,1.0
2026-07-07 18:22:40+00:00,KXBTCD-26JUL0715-T63899.99,0.855,37.1,-0.002417,0.0,0.3055999999999999,1.0
2026-07-07 18:22:40+00:00,KXBTCD-26JUL0715-T63999.99,0.715,37.1,-0.000856,0.0,0.3055999999999999,1.0
2026-07-07 18:22:40+00:00,KXBTCD-26JUL0715-T64099.99,0.475,37.1,0.000705,0.0,0.3055999999999999,1.0
2026-07-07 18:22:40+00:00,KXBTCD-26JUL0715-T64199.99,0.25,37.1,0.002267,0.0,0.3055999999999999,1.0
2026-07-07 18:22:40+00:00,KXBTCD-26JUL0715-T64299.99,0.105,37.1,0.003828,0.0,0.3055999999999999,1.0
2026-07-07 18:22:40+00:00,KXBTCD-26JUL0715-T64399.99,0.035,37.1,0.005389,0.0,0.3055999999999999,1.0
2026-07-07 18:23:52+00:00,KXBTCD-26JUL0715-T64299.99,0.105,35.9,0.003404,0.0,0.3055999999999999,1.0
2026-07-07 18:23:52+00:00,KXBTCD-26JUL0715-T64199.99,0.225,35.9,0.001844,0.0,0.3055999999999999,1.0
2026-07-07 18:23:52+00:00,KXBTCD-26JUL0715-T64099.99,0.455,35.9,0.000283,0.0,0.3055999999999999,1.0
2026-07-07 18:23:52+00:00,KXBTCD-26JUL0715-T64399.99,0.045,35.9,0.004965,0.0,0.3055999999999999,1.0
2026-07-07 18:23:52+00:00,KXBTCD-26JUL0715-T63899.99,0.875,35.9,-0.002838,0.0,0.3055999999999999,1.0
2026-07-07 18:23:52+00:00,KXBTCD-26JUL0715-T63799.99,0.955,35.9,-0.004398,0.0,0.3055999999999999,1.0
2026-07-07 18:23:52+00:00,KXBTCD-26JUL0715-T63999.99,0.695,35.9,-0.001277,0.0,0.3055999999999999,1.0
2026-07-07 18:25:26+00:00,KXBTCD-26JUL0715-T64199.99,0.125,34.3,0.003075,0.0,0.04879999999999999,1.0
2026-07-07 18:25:26+00:00,KXBTCD-26JUL0715-T64099.99,0.255,34.3,0.001513,0.0,0.04879999999999999,1.0
2026-07-07 18:25:26+00:00,KXBTCD-26JUL0715-T63999.99,0.485,34.3,-5e-05,0.0,0.04879999999999999,1.0
2026-07-07 18:25:26+00:00,KXBTCD-26JUL0715-T64299.99,0.035,34.3,0.004638,0.0,0.04879999999999999,1.0
2026-07-07 18:25:26+00:00,KXBTCD-26JUL0715-T63799.99,0.885,34.3,-0.003174,0.0,0.04879999999999999,1.0
2026-07-07 18:25:26+00:00,KXBTCD-26JUL0715-T63699.99,0.955,34.3,-0.004737,0.0,0.04879999999999999,1.0
2026-07-07 18:25:26+00:00,KXBTCD-26JUL0715-T63899.99,0.725,34.3,-0.001612,0.0,0.04879999999999999,1.0
2026-07-07 18:26:41+00:00,KXBTCD-26JUL0715-T63699.99,0.965,33.1,-0.004501,0.0,0.04879999999999999,1.0
2026-07-07 18:26:41+00:00,KXBTCD-26JUL0715-T63799.99,0.885,33.1,-0.002938,0.0,0.04879999999999999,1.0
2026-07-07 18:26:41+00:00,KXBTCD-26JUL0715-T63899.99,0.715,33.1,-0.001375,0.0,0.04879999999999999,1.0
2026-07-07 18:26:41+00:00,KXBTCD-26JUL0715-T63999.99,0.475,33.1,0.000187,0.0,0.04879999999999999,1.0
2026-07-07 18:26:41+00:00,KXBTCD-26JUL0715-T64099.99,0.235,33.1,0.00175,0.0,0.04879999999999999,1.0
2026-07-07 18:26:41+00:00,KXBTCD-26JUL0715-T64199.99,0.125,33.1,0.003313,0.0,0.04879999999999999,1.0
2026-07-07 18:26:41+00:00,KXBTCD-26JUL0715-T64299.99,0.035,33.1,0.004876,0.0,0.04879999999999999,1.0
2026-07-07 18:27:54+00:00,KXBTCD-26JUL0715-T64199.99,0.095,31.9,0.003656,0.0,0.04879999999999999,1.0
2026-07-07 18:27:54+00:00,KXBTCD-26JUL0715-T64099.99,0.225,31.9,0.002092,0.0,0.04879999999999999,1.0
2026-07-07 18:27:54+00:00,KXBTCD-26JUL0715-T63999.99,0.465,31.9,0.000529,0.0,0.04879999999999999,1.0
2026-07-07 18:27:54+00:00,KXBTCD-26JUL0715-T63799.99,0.885,31.9,-0.002598,0.0,0.04879999999999999,1.0
2026-07-07 18:27:54+00:00,KXBTCD-26JUL0715-T63699.99,0.965,31.9,-0.004161,0.0,0.04879999999999999,1.0
2026-07-07 18:27:54+00:00,KXBTCD-26JUL0715-T63899.99,0.715,31.9,-0.001034,0.0,0.04879999999999999,1.0
2026-07-07 18:29:07+00:00,KXBTCD-26JUL0715-T63699.99,0.945,30.7,-0.003804,0.0,0.04879999999999999,1.0
2026-07-07 18:29:07+00:00,KXBTCD-26JUL0715-T63799.99,0.835,30.7,-0.00224,0.0,0.04879999999999999,1.0
2026-07-07 18:29:07+00:00,KXBTCD-26JUL0715-T63899.99,0.625,30.7,-0.000676,0.0,0.04879999999999999,1.0
2026-07-07 18:29:07+00:00,KXBTCD-26JUL0715-T63999.99,0.355,30.7,0.000888,0.0,0.04879999999999999,1.0
2026-07-07 18:29:07+00:00,KXBTCD-26JUL0715-T64099.99,0.155,30.7,0.002452,0.0,0.04879999999999999,1.0
2026-07-07 18:29:07+00:00,KXBTCD-26JUL0715-T64199.99,0.065,30.7,0.004016,0.0,0.04879999999999999,1.0
2026-07-07 18:30:20+00:00,KXBTCD-26JUL0715-T64199.99,0.075,29.5,0.004172,0.0,0.04879999999999999,1.0
2026-07-07 18:30:20+00:00,KXBTCD-26JUL0715-T64099.99,0.165,29.5,0.002608,0.0,0.04879999999999999,1.0
2026-07-07 18:30:20+00:00,KXBTCD-26JUL0715-T63999.99,0.375,29.5,0.001044,0.0,0.04879999999999999,1.0
2026-07-07 18:30:20+00:00,KXBTCD-26JUL0715-T63699.99,0.945,29.5,-0.003648,0.0,0.04879999999999999,1.0
