logged_at,logged_at_parsed,contract_ticker,side,would_win,would_pnl,p_up_v3_backfill,v3_agree_backfill
2026-06-12 20:34:52.672163+00:00,2026-06-12 20:34:52.672163+00:00,KXBTC15M-26JUN121645-45,no,0.0,-37.83,0.5123243891589947,0
2026-06-12 20:49:59.710806+00:00,2026-06-12 20:49:59.710806+00:00,KXBTC15M-26JUN121700-00,no,1.0,7.59,0.5123243891589947,0
2026-06-12 21:05:08.911532+00:00,2026-06-12 21:05:08.911532+00:00,KXBTC15M-26JUN121715-15,no,0.0,-42.84,0.5435750073175476,0
2026-06-13 00:36:57.425924+00:00,2026-06-13 00:36:57.425924+00:00,KXBTC15M-26JUN122045-45,yes,1.0,5.13,0.45246634265951885,0
2026-06-13 03:03:40.073682+00:00,2026-06-13 03:03:40.073682+00:00,KXBTC15M-26JUN122315-15,yes,1.0,7.42,0.5599626700175068,1
2026-06-13 03:34:00.370546+00:00,2026-06-13 03:34:00.370546+00:00,KXBTC15M-26JUN122345-45,no,0.0,-42.84,0.5599626700175068,0
2026-06-13 03:49:09.913535+00:00,2026-06-13 03:49:09.913535+00:00,KXBTC15M-26JUN130000-00,no,0.0,-44.05,0.5599626700175068,0
2026-06-13 04:19:29.934384+00:00,2026-06-13 04:19:29.934384+00:00,KXBTC15M-26JUN130030-30,yes,1.0,7.41,0.4951257291543204,0
2026-06-13 04:34:40.073012+00:00,2026-06-13 04:34:40.073012+00:00,KXBTC15M-26JUN130045-45,yes,1.0,5.42,0.4951257291543204,0
2026-06-13 04:49:48.747461+00:00,2026-06-13 04:49:48.747461+00:00,KXBTC15M-26JUN130100-00,yes,0.0,-37.95,0.4951257291543204,0
2026-06-13 05:04:58.539661+00:00,2026-06-13 05:04:58.539661+00:00,KXBTC15M-26JUN130115-15,yes,1.0,6.62,0.5322944374768639,1
2026-06-13 05:20:08.722228+00:00,2026-06-13 05:20:08.722228+00:00,KXBTC15M-26JUN130130-30,no,0.0,-45.21,0.5322944374768639,0
2026-06-13 05:35:18.122926+00:00,2026-06-13 05:35:18.122926+00:00,KXBTC15M-26JUN130145-45,no,0.0,-55.35,0.5322944374768639,0
2026-06-13 05:50:26.320934+00:00,2026-06-13 05:50:26.320934+00:00,KXBTC15M-26JUN130200-00,no,1.0,21.83,0.5322944374768639,0
2026-06-13 06:10:39.216318+00:00,2026-06-13 06:10:39.216318+00:00,KXBTC15M-26JUN130215-15,yes,1.0,6.6,0.5028186007897891,1
2026-06-13 06:20:46.987575+00:00,2026-06-13 06:20:46.987575+00:00,KXBTC15M-26JUN130230-30,yes,1.0,10.03,0.5028186007897891,1
