feature,n_weeks,ic_mean,ic_t,ic_2021,ic_2022,ic_2023,ic_2024,ic_2025,ic_2026
ret_first45,288,-0.03583135356386908,-7.968471924493771,-0.0024030288209322746,-0.061041227271896675,-0.058171699317297675,-0.04535013477240487,-0.012361053179371386,-0.03637249327392497
tbr_4h,288,-0.03407619640198288,-7.940386524796914,-0.05108855244351503,-0.038130612487305524,-0.0469050539114313,-0.027561318464998947,-0.028107298299537026,0.0069403772622752815
xrp_ret_4h,158,-0.04418625160763846,-7.811276462285141,0.01888030533238509,,-0.0589127791652413,-0.054686595375866336,-0.026633889498574252,-0.049999354138384126
us_x_ret1h,288,-0.03241102857071058,-7.776344295701726,-0.00769032243657621,-0.027867363604858413,-0.042551381085176004,-0.03767693962623713,-0.0434677424187936,-0.03739679737112976
tbr_1h,288,-0.02980006158313717,-7.128586828662978,-0.022491063519750096,-0.03626999661476928,-0.04496670676365578,-0.03176909657691614,-0.020849380450868597,-0.015983839679360023
tbr_z_10d,288,-0.029155097017701786,-6.960987276368934,-0.02204159641257982,-0.036933257074507495,-0.045244776810249486,-0.029820070545503854,-0.019064506485834118,-0.01541424642671075
upmin_frac,288,-0.025450732989542414,-6.174914455328228,-0.008172534475532003,-0.024989010418299398,-0.060021907056989614,-0.0242873397381837,-0.008381889934856767,-0.028781102467131933
liq_imb_4h,27,-0.061642195209236965,-4.853795926134556,,,,,,-0.061642195209236965
spread_sol_24h,288,0.020499007824113846,4.576803564041472,0.013359525446668767,0.006598189988589151,0.03855659324514419,0.016923201753775003,0.025449630647843904,0.02341234394192041
liq_imb_1h,27,-0.05547472693022878,-4.510671081058412,,,,,,-0.05547472693022878
oi_chg_4h,27,-0.05413177791376601,-4.145202864897401,,,,,,-0.05413177791376601
fut_cvd_24h,27,-0.06285642875261271,-4.138058196471737,,,,,,-0.06285642875261271
xrp_ret_1h,158,-0.025212262801978746,-3.917482304794465,-0.15023597498205943,,-0.03488501814787794,-0.039193470385322254,-0.003181612341394493,-0.023671823076621763
btc_dom_24h,288,0.015504027530494478,3.7555070486185786,0.010449562184269472,0.0061258270042245195,0.02220403997024927,0.015479346948220285,0.02821871208874195,0.005485623352480828
fut_cvd_12h,27,-0.04859133100884502,-3.7094633057879687,,,,,,-0.04859133100884502
fut_cvd_4h,27,-0.05222732523831929,-3.6429880846534113,,,,,,-0.05222732523831929
spot_cvd_24h,27,-0.058186588670876685,-3.6312325405412276,,,,,,-0.058186588670876685
oi_chg_24h,27,-0.05529927505470986,-3.5193623782543635,,,,,,-0.05529927505470986
rv_60m,288,0.014729617414956693,3.312651988609145,0.04540185377080271,-0.0020078009830588905,0.00582895127258637,0.014035243871393292,0.019891113886390373,-0.0037603004785475157
rv60_z_10d,288,0.013389163965561902,3.0024685736698307,0.04089338303278914,-0.0038531650411597522,0.008096517665259113,0.012170486913246672,0.019516536544443106,-0.005861955126692055
spot_ratio_1h,27,-0.033250539738080974,-2.349114729674957,,,,,,-0.033250539738080974
rv_ratio_24_168,288,0.008044368079268767,2.0464420684695,0.028628634583713654,0.004721397151291589,-0.005035453440014641,-0.0023651657107262186,0.024298921467948018,-0.01186793649457734
oi_chg_1h,27,-0.028719706881833968,-1.9066706364507813,,,,,,-0.028719706881833968
spread_eth_24h,288,0.00801932770230983,1.7748569431650878,0.024167959136439147,0.0019142523720382999,-0.00540453189789075,-0.0023108396875625805,0.01876449181302029,0.013332319858440788
fut_ratio_1h,27,-0.02920493569884491,-1.7734421124093311,,,,,,-0.02920493569884491
oi_z_10d,25,-0.026875106952183758,-1.6980404481895928,,,,,,-0.026875106952183758
spread_eth_1h,288,-0.008394444668711,-1.6678925881859077,-0.0160720147338523,0.016638094908291587,-0.013473914143863983,0.003461524722722319,-0.03628169635591588,-0.0001282250702482663
btc_dom_1h,288,-0.007410946226907774,-1.4451102324070906,-0.015529273338673079,0.007137853511027744,0.008082944447924454,0.000783619194205474,-0.03932359044874171,-0.0027744332562713915
volskew_last20,288,0.006213302162131645,1.3346191219519081,0.008708057593123895,0.016717839798715876,0.005658419278182586,-0.00524341334412873,0.011720169813818997,-0.006498701866109686
liq_tot_z_10d,25,0.017536808079038547,1.1386301508085732,,,,,,0.017536808079038547
er_24h,288,-0.003909866314064241,-0.8850043351215692,-0.007780471260473197,0.006020983322357955,-0.011273047015983913,0.0006995492390476219,-0.00048390425364565977,-0.017002937623133405
funding_chg_24h,27,-0.007637630745489775,-0.47639591954787386,,,,,,-0.007637630745489775
vov_7d,288,0.0015410228314424784,0.37924921465714123,-0.0005877839580812844,0.005700464901026993,0.0060541042817679625,0.006517058293740681,-0.00127991273101318,-0.015107774546684969
funding_close,27,0.0041622409837116054,0.24806291411148976,,,,,,0.0041622409837116054
dvol_z_10d,288,0.0009135526642689369,0.21990805077789344,0.02261740501355068,-0.006986885559291508,-0.0007560539860712869,-0.01063717716906498,0.009652733664633567,-0.017364100313722822
spread_sol_1h,288,0.0006979076595933528,0.14442096332350793,-0.006297133099648776,0.0035221491917449116,0.027764715337854393,0.014609341757933379,-0.037463997122571396,0.004719905469970625
er_72h,288,-0.000385687255806541,-0.08706745233615391,0.004401131823157275,-0.010242634691491727,-0.006752355951550072,-0.006059260593088524,0.01305409077528551,0.00618583217452529
funding_z_10d,25,0.0011572584301764298,0.06756799176407494,,,,,,0.0011572584301764298
