logged_at_parsed,contract_ticker,logged_at,decision_time,close_ts,spot,strike,offset_pct,p_market,p_market_source,p_yes_model,z_score,vol_60m,vol_60m_model,vol_implied_kalshi,vol_ratio,spread,vol_eff,structure_bias,confirmation_bias,confirmation_score,no_score,obi_score,obi_raw,obi_exchanges,vpin_score,vpin_raw,funding_bias,avg_funding_rate,vol_score,vwap_score,vwap_signal,vwap_total,vwap_stretch_score,vwap_distance_pct,bearish_rejection,bullish_rejection,ema_stretch_score,stoch_bias,stoch_k,stoch_d,stoch_crossover_active,ema_stack_bias,ema_alignment,z_shift,direction_strength,raw_edge,net_edge,decision,side,neutral_gate,pure_edge_gate,contracts_scanned,tau_minutes,gate_blocked,kelly_fraction,bet_fraction,bet_amount,bankroll,resolved_yes,would_win,would_pnl,composite_trend,composite_rev,composite_p_up,chg_30m,chg_10m,chg_5m,sharp_move_active,stoch_flipped,cmf_raw,cmf_score,stoch_k_4h,p_up_v2,bp_5m,bp_1h,chg_1h,chg_2h,chg_3h,body_15m,dir_15m,p_gbdt,smc_4h,smc_1h,choch_1h,choch_4h,supply_pct,demand_pct,in_supply_zone,in_demand_zone,squeeze_1h,kc_pct_1h,kc_bo_1h,adx_1h,rvol_1h,pm_drift_5m,hour_utc,liq_score,liq_bias,ls_long_pct,oi_chg_pct,cvd_4h,cg_futures_delta_4h,cg_futures_ratio_4h,cg_futures_cvd_12h,cg_spot_cb_ratio_4h,cg_liq_ratio_4h,cg_liq_total_4h,hl_ls_ratio,hl_squeeze_idx,hl_liq_ratio_4h,all_liq_ratio_1h,all_liq_ratio_4h,max_pain_nearest,max_pain_dist_pct,opt_pc_ratio,arima_forecast_1h,markov_regime_daily,markov_regime_7state,ob_imbalance,ob_path_ask_usd,ob_path_bid_usd,ob_ask_frac,ob_bid_wall_pct,ob_ask_wall_pct,hmm_vol_state,hmm_r1_prob,hmm_vol_k10,hmm_time_in_state,ou_z_score,ou_halflife_min,ou_tau_drift,hs_pattern_type,hs_bars_since_break,hs_r2,hs_neck_slope,hs_head_height,hs_head_width,flag_signal,flag_bull_bars_ago,flag_bear_bars_ago,flag_bull_tip_y,flag_bear_tip_y,flag_bull_pole_pct,flag_bear_pole_pct,pip_last_slope,pip_up_frac,pip_n_turns,v_hawk,hawk_vol_regime,pc1_rsi,ou_theta,hurst_exponent,autocorr1_15,autocorr1_30,kalman_velocity,kalman_residual,hmm_ms_state,hmm_ms_prob,hmm_of_state,hmm_of_prob,hmm_vd_state,hmm_vd_prob,hmm_pnl_state,hmm_ps_state,hmm_gd_state,hmm_zdrift_state,spot_at_expiry,price_move_pct,miss_pct,loss_margin_pct,loss_category,p_up_v3,pup_v3_hmm_state,eth_p_up_v1,agree,p_sol,be,would_win_bf,would_pnl_bf,yw
2026-05-12 15:07:17+00:00,KXSOLD-26MAY1212-T94.9999,2026-05-12 15:07:17+00:00,2026-05-12 15:00,2026-05-12T16:00:00Z,94.66,95.0,0.3591,0.22,real,0.181489,0.9319,0.00100844,0.00065037,0.00063955,1.0169,0.08,0.00069727,-1.0,1.0,2.0,1.0,0.0,-0.0474,2.0,0.0,0.6452,-1.0,9.708e-05,0.0,-1.0,1.0,2.0,2.0,-0.9387,False,False,1.0,1.0,10.53,25.73,False,-1.0,bearish,0.0,0.0,0.053511,0.028797,trade,no,False,False,43.0,52.68,,0.243231,0.05,50.0,1000.0,False,True,14.1,-2.0,8.0,0.6323,-0.2217,0.0106,0.0106,False,,,0.0,,,,,,,,,,,bullish,bearish,True,False,14.748,5.441,False,False,False,,,21.41,0.0273,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.5483255211915229,0.78,True,14.1,2026-W20
2026-05-12 16:46:58+00:00,KXSOLD-26MAY1213-T93.9999,2026-05-12 16:46:58+00:00,2026-05-12 16:00,2026-05-12T17:00:00Z,93.75,94.0,0.2612,0.26,real,0.205751,0.7606,0.00073061,0.00085136,0.00112417,0.7573,0.06,0.00103358,0.0,1.0,2.0,2.0,-1.0,-0.129,2.0,0.0,0.7326,-1.0,0.0001,-1.0,-1.0,1.0,2.0,2.0,-1.0867,False,False,1.0,1.0,15.88,24.83,False,-1.0,bearish,0.0,0.0,0.069249,0.043444,trade,no,False,False,43.0,13.01,,0.266343,0.05,50.0,1000.0,False,True,17.57,-2.0,7.0,0.6323,-0.3184,-0.2655,-0.3078,False,,,0.0,,,,,,,,,,,bullish,bearish,False,False,15.855,4.528,False,False,False,,,23.36,0.6761,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.5514952016688557,0.74,True,17.57,2026-W20
2026-05-13 03:07:55+00:00,KXSOLD-26MAY1300-T94.9999,2026-05-13 03:07:55+00:00,2026-05-13 03:00,2026-05-13T04:00:00Z,95.18,95.0,-0.1918,0.75,real,0.808247,-0.866,0.00061456,0.00027614,0.00039461,0.6998,0.21,0.00045199,0.0,-1.0,0.0,2.0,0.0,-0.0661,2.0,0.0,0.0214,-1.0,7.89e-05,0.0,0.0,0.0,0.0,0.0,0.0903,False,False,0.0,-1.0,80.82,80.59,False,1.0,bearish,0.0,0.0,0.043247,0.015122,trade,yes,False,False,44.0,52.05,,0.172989,0.05,50.0,1000.0,True,True,16.67,0.0,-4.0,0.483,-0.021,0.0315,0.0525,False,,,0.0,,,,,,,,,,,bullish,bearish,False,False,14.118,5.96,False,False,True,,,17.59,0.0083,-0.03,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.3894921600205986,0.75,True,16.67,2026-W20
2026-05-13 14:46:06+00:00,KXSOLD-26MAY1311-T91.9999,2026-05-13 14:46:06+00:00,2026-05-13 14:00,2026-05-13T15:00:00Z,91.8,92.0,0.215,0.31,real,0.283331,0.507,0.00117431,0.00072155,0.0011632,0.6203,0.09,0.00105335,0.0,1.0,2.0,1.0,0.0,0.0157,2.0,0.0,0.3726,-1.0,5.533e-05,-1.0,-1.0,1.0,2.0,2.0,-1.7284,False,False,1.0,1.0,13.02,16.42,False,-1.0,bearish,0.0,0.0,0.041669,0.012926,trade,no,False,False,36.0,13.87,,0.134417,0.05,50.0,1000.0,False,True,22.46,-5.0,12.0,0.4483,-0.1087,-0.2064,-0.2064,False,,,0.0,,,,,,,,,,,bearish,bearish,False,True,18.319,2.497,False,False,False,,,20.44,6.8041,-0.25,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.5483998107211092,0.69,True,22.46,2026-W20
2026-05-13 18:48:13+00:00,KXSOLD-26MAY1315-T90.9999,2026-05-13 18:48:13+00:00,2026-05-13 18:00,2026-05-13T19:00:00Z,90.78,91.0,0.245,0.41,real,0.301982,0.4627,0.0006849,0.00084438,0.00313655,0.2692,0.01,0.0018363,-1.0,1.0,2.0,1.0,1.0,0.337,2.0,0.0,0.2377,-1.0,8.173e-05,-1.0,-1.0,1.0,2.0,2.0,-1.8252,False,False,1.0,0.0,48.15,58.76,False,-1.0,bearish,0.0,0.0,0.123018,0.093694,trade,no,False,False,35.0,11.75,,0.300044,0.05,50.0,1000.0,False,True,34.75,-4.0,8.0,0.4483,-0.2964,-0.493,-0.2854,False,,,0.0,,,,,,,,,,,bearish,bearish,False,True,3.825,1.396,False,False,False,,,29.81,0.5093,-0.47,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.5182509480046931,0.5900000000000001,True,34.75,2026-W20
2026-05-13 19:04:07+00:00,KXSOLD-26MAY1317-T90.9999,2026-05-13 19:04:07+00:00,2026-05-13 19:00,2026-05-13T21:00:00Z,90.69,91.0,0.3445,0.37,real,0.344096,0.3584,0.00073507,0.00083289,0.00096285,0.865,0.08,0.00106143,-1.0,1.0,2.0,1.0,1.0,0.3669,2.0,0.0,0.2272,-1.0,7.95e-05,0.0,-1.0,1.0,2.0,2.0,-1.8556,False,False,1.0,0.0,45.37,63.58,False,-1.0,bearish,0.0,0.0,0.040904,0.010448,trade,no,False,False,70.0,115.83,,0.11055,0.05,50.0,1000.0,True,False,-50.0,-4.0,7.0,0.4483,-0.6456,-0.077,-0.3621,False,,,0.0,,,,,,,,,,,bearish,bearish,False,True,3.928,1.298,False,False,False,,,31.37,0.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.517915817902002,0.63,False,-50.0,2026-W20
2026-05-14 13:04:51+00:00,KXSOLD-26MAY1410-T90.9999,2026-05-14 13:04:51+00:00,2026-05-14 13:00,2026-05-14T14:00:00Z,91.15,91.0,-0.1674,0.75,real,0.81725,-0.9095,0.00040615,0.00027667,0.00033467,0.8267,0.15,0.00036499,0.0,-1.0,0.0,1.0,0.0,-0.0886,2.0,0.0,0.4396,0.0,4.07e-06,0.0,0.0,0.0,0.0,0.0,0.2725,False,False,-1.0,-1.0,88.71,91.56,True,1.0,bearish,0.0,0.0,0.06725,0.039125,trade,yes,False,False,33.0,55.09,,0.269001,0.05,50.0,1000.0,False,False,-50.0,0.0,-2.0,0.4978,0.1537,-0.0329,-0.0767,False,,,0.0,,,,,,,,,,,bearish,bearish,False,True,3.398,1.802,False,False,True,,,40.12,0.0032,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.496695815887592,0.75,False,-50.0,2026-W20
2026-05-14 22:06:01+00:00,KXSOLD-26MAY1419-T92.9999,2026-05-14 22:06:01+00:00,2026-05-14 22:00,2026-05-14T23:00:00Z,92.77,93.0,0.2532,0.21,real,0.120228,1.1804,0.00055463,0.00030017,0.00042702,0.7029,0.16,0.00042901,1.0,-1.0,0.0,0.0,0.0,0.0162,2.0,0.0,0.5543,0.0,4.816e-05,0.0,0.0,0.0,0.0,0.0,0.1773,False,False,0.0,0.0,28.35,30.18,False,0.0,bearish,0.0,0.0,0.089772,0.067367,trade,no,False,False,36.0,53.94,,0.427484,0.05,50.0,1000.0,False,True,13.29,0.0,0.0,0.5327,-0.1077,-0.0539,0.0,False,,,0.0,,,,,,,,,,,bearish,bullish,True,True,1.601,3.509,False,False,False,,,28.9,0.0029,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.5040054111947524,0.79,True,13.29,2026-W20
2026-05-15 04:20:56+00:00,KXSOLD-26MAY1501-T91.9999,2026-05-15 04:20:56+00:00,2026-05-15 04:00,2026-05-15T05:00:00Z,91.81,92.0,0.2096,0.22,real,0.174756,0.933,0.00045338,0.00037305,0.00043399,0.8596,0.15,0.0004726,1.0,-1.0,0.0,1.0,0.0,-0.0503,2.0,0.0,0.4206,-1.0,6.893e-05,0.0,0.0,0.0,0.0,0.0,-0.1002,False,False,1.0,0.0,29.0,38.91,False,-1.0,bearish,0.0,0.0,0.060244,0.035848,trade,no,False,False,40.0,39.02,,0.273837,0.05,50.0,1000.0,False,True,14.1,0.0,2.0,0.574,-0.1414,-0.1848,-0.1739,False,,,0.0,,,,,,,,,,,bearish,bullish,True,True,2.66,2.503,False,False,False,,,23.21,0.3965,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.5619368855836077,0.78,True,14.1,2026-W20
2026-05-18 09:01:54+00:00,KXSOLD-26MAY1806-T84.9999,2026-05-18 09:01:54+00:00,2026-05-18 09:00,2026-05-18T10:00:00Z,84.82,85.0,0.215,0.24,real,0.167844,0.9151,0.00041483,0.00036493,0.00039915,0.9143,0.15,0.00045305,0.0,-1.0,0.0,0.0,0.0,0.0114,2.0,0.0,0.4523,0.0,8.56e-06,0.0,0.0,0.0,1.0,1.0,-0.2842,False,False,0.0,0.0,51.61,44.93,False,-1.0,bearish,0.0,0.0,0.072156,0.047379,trade,no,False,False,38.0,58.06,,0.300651,0.05,50.0,1000.0,False,True,15.79,-4.0,0.0,0.3087,-0.1532,0.0,0.0,False,,,0.0,,,,,,,,,,,bearish,bearish,False,False,2.385,6.989,False,False,False,,,42.05,0.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.543663070483224,0.76,True,15.79,2026-W21
2026-05-18 21:28:29+00:00,KXSOLD-26MAY1818-T84.9999,2026-05-18 21:28:29+00:00,2026-05-18 21:00,2026-05-18T22:00:00Z,85.14,85.0,-0.1616,0.69,real,0.751292,-0.6693,0.00055743,0.00038144,0.00058148,0.656,0.01,0.00046828,1.0,-1.0,0.0,2.0,0.0,0.0571,2.0,0.0,0.5306,-1.0,5.388e-05,-1.0,0.0,0.0,-1.0,-1.0,0.6577,False,False,-1.0,-1.0,89.95,84.13,False,1.0,bearish,0.0,0.0,0.046292,0.016319,trade,yes,False,False,38.0,31.47,,0.149328,0.05,50.0,1000.0,True,True,22.46,1.0,-4.0,0.5088,0.2471,0.141,0.141,False,,,0.0,,,,,,,,,,,bearish,bearish,False,False,2.0,7.338,False,False,True,,,33.5,0.3377,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.4669115347937694,0.69,True,22.46,2026-W21
2026-05-19 09:26:35+00:00,KXSOLD-26MAY1906-T84.9999,2026-05-19 09:26:35+00:00,2026-05-19 09:00,2026-05-19T10:00:00Z,84.62,85.0,0.4489,0.26,real,0.174477,1.0027,0.00063784,0.00064776,0.00120577,0.5372,0.04,0.00092103,1.0,1.0,2.0,0.0,1.0,0.1555,2.0,0.0,0.4916,0.0,-1.74e-06,-1.0,0.0,0.0,1.0,1.0,-0.4972,False,False,1.0,1.0,0.0,30.74,False,-1.0,bearish,0.0,0.0,0.085523,0.060441,trade,no,False,False,43.0,33.34,,0.328936,0.05,50.0,1000.0,False,True,17.57,-1.0,8.0,0.5169,-0.8079,-0.4582,-0.2707,False,,,0.0,,,,,,,,,,,bearish,bearish,False,False,2.623,6.771,False,False,True,,,20.33,0.2438,-0.68,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.5287111458104594,0.74,True,17.57,2026-W21
2026-05-20 04:01:11+00:00,KXSOLD-26MAY2001-T83.9999,2026-05-20 04:01:11+00:00,2026-05-20 04:00,2026-05-20T05:00:00Z,84.09,84.0,-0.1101,0.71,real,0.823081,-0.9193,0.00024546,8.249e-05,0.00025973,0.3176,0.17,0.00022993,0.0,-1.0,0.0,1.0,0.0,0.0646,2.0,0.0,0.5363,-1.0,6.95e-05,0.0,0.0,0.0,0.0,0.0,-0.1433,False,False,0.0,0.0,42.62,42.62,False,-1.0,bearish,0.0,0.0,0.098081,0.068668,trade,yes,False,False,37.0,58.76,,0.338209,0.05,50.0,1000.0,True,True,20.42,0.0,0.0,0.5327,-0.0475,0.0,0.0,False,,,0.0,,,,,,,,,,,bearish,bearish,False,False,3.267,6.187,False,False,True,,,28.19,0.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.4856881694888254,0.71,True,20.42,2026-W21
2026-05-20 21:26:02+00:00,KXSOLD-26MAY2018-T85.9999,2026-05-20 21:26:02+00:00,2026-05-20 21:00,2026-05-20T22:00:00Z,86.04,86.0,-0.0437,0.48,real,0.574905,-0.1858,0.00051167,0.00059413,,,0.17,0.00059413,1.0,-1.0,0.0,1.0,0.0,0.0256,2.0,0.0,0.1537,-1.0,5.857e-05,0.0,0.0,0.0,-1.0,-1.0,0.5025,False,False,0.0,0.0,54.95,49.98,False,1.0,bullish,0.0,0.0,0.079905,0.047433,trade,yes,False,False,39.0,33.92,,0.153664,0.05,50.0,1000.0,False,False,-50.0,1.0,0.0,0.5923,0.0116,-0.0928,0.0929,False,,,0.0,,,,,,,,,,,bullish,bullish,False,True,9.545,1.566,False,False,False,,,21.15,0.0475,-0.02,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.4986117682957924,0.48,False,-50.0,2026-W21
