feature,split,n_rescued,wr_rescued,edge_rescued,pnl_rescued,n_weeks,worst_wk_share,edge_remainder,pnl_remainder
vol_implied_kalshi,<0.0007783(q0.5),176,0.8522727272727273,0.17713068181818192,2319.66,13,18.604271516850353,0.23528409090909086,2706.68
vol_implied_kalshi,>=0.0009353(q0.6),141,0.8794326241134752,0.24248226950354612,2110.84,13,60.88047402143304,0.18196682464454994,2915.5
vol_implied_kalshi,<0.0009353(q0.6),211,0.8625592417061612,0.18196682464454994,2915.5,13,20.863547126907854,0.24248226950354612,2110.84
vol_implied_kalshi,>=0.00113(q0.7),106,0.8867924528301887,0.2668867924528303,1781.8500000000001,11,69.80658731506384,0.1800609756097562,3244.49
vol_implied_kalshi,<0.00113(q0.7),246,0.8617886178861789,0.1800609756097562,3244.49,13,22.111660027855574,0.2668867924528303,1781.8500000000001
vol_implied_kalshi,>=0.001884(q0.8),71,0.9295774647887324,0.33443661971830985,1499.8499999999997,7,75.90845211804859,0.17380782918149462,3526.49
vol_implied_kalshi,<0.001884(q0.8),281,0.8540925266903915,0.17380782918149462,3526.49,13,21.651825180104456,0.33443661971830985,1499.8499999999997
vol_implied_kalshi,>=0.009283(q0.9),36,1.0,0.4555555555555555,1015.8300000000002,2,97.1629111170176,0.17780063291139236,4010.5099999999998
vol_implied_kalshi,<0.009283(q0.9),316,0.8544303797468354,0.17780063291139236,4010.5099999999998,13,23.930688396755308,0.4555555555555555,1015.8300000000002
vol_ratio,>=0.06227(q0.1),316,0.8544303797468354,0.17778481012658232,3988.3799999999997,13,22.844649822364662,0.4556944444444444,1037.96
vol_ratio,<0.06227(q0.1),36,1.0,0.4556944444444444,1037.96,4,89.22309144861073,0.17778481012658232,3988.3799999999997
vol_ratio,>=0.2161(q0.2),281,0.8398576512455516,0.1614056939501779,3259.73,13,24.562483884178434,0.3835211267605634,1766.6099999999997
vol_ratio,<0.2161(q0.2),71,0.9859154929577465,0.3835211267605634,1766.6099999999997,7,69.38656522945077,0.1614056939501779,3259.73
vol_ratio,>=0.3396(q0.3),246,0.8373983739837398,0.16447154471544723,2937.9799999999996,13,19.336067502605307,0.30306603773584917,2088.3599999999997
