config,week,n,auc,rank_ic
A,2026-07-02/2026-07-08,20,0.4583333333333333,-0.07079923254047887
B,2024-06-27/2024-07-03,24,0.5966386554621849,0.1522933922103135
B,2024-07-04/2024-07-10,168,0.5199829327264969,0.034550696799913086
B,2024-07-11/2024-07-17,168,0.519971160778659,0.034293797244268585
B,2024-07-18/2024-07-24,168,0.515520907158044,0.026881570957842583
B,2024-07-25/2024-07-31,168,0.5045409394068398,0.007860373772169109
B,2024-08-01/2024-08-07,168,0.4499645641389086,-0.08666375257231151
B,2024-08-08/2024-08-14,168,0.5069483834373227,0.012033543921554639
B,2024-08-15/2024-08-21,168,0.4721146953405018,-0.04824996476352259
B,2024-08-22/2024-08-28,168,0.5305397727272727,0.05283987424377967
B,2024-08-29/2024-09-04,168,0.530970942593905,0.05398719350704492
B,2024-09-05/2024-09-11,168,0.5134050179211469,0.023084943439822446
B,2024-09-12/2024-09-18,168,0.5259390503189227,0.044926615914478905
B,2024-09-19/2024-09-25,168,0.5802154195011338,0.1389396435222879
B,2024-09-26/2024-10-02,168,0.5391737891737892,0.06767888153395418
B,2024-10-03/2024-10-09,168,0.5497159090909091,0.0860143723664042
B,2024-10-10/2024-10-16,168,0.5375215641173088,0.0645282304725408
B,2024-10-17/2024-10-23,168,0.5659090909090908,0.11403041007396002
B,2024-10-24/2024-10-30,168,0.5431867339581832,0.07415902359506785
B,2024-10-31/2024-11-06,168,0.5464387464387465,0.08023343600296248
B,2024-11-07/2024-11-13,168,0.5618503879373444,0.10540834138251377
B,2024-11-14/2024-11-20,168,0.5440441176470588,0.07491135811052112
B,2024-11-21/2024-11-27,168,0.5789361399516427,0.1364819182971956
B,2024-11-28/2024-12-04,168,0.5280898876404495,0.04856770546606999
B,2024-12-05/2024-12-11,168,0.570204733555975,0.12013525431206457
B,2024-12-12/2024-12-18,168,0.5930183056619838,0.16101260268424614
B,2024-12-19/2024-12-25,168,0.553143181495672,0.09198965630091561
B,2024-12-26/2025-01-01,168,0.5498579545454545,0.08626007313784476
B,2025-01-02/2025-01-08,168,0.5183238636363636,0.03170274098502728
B,2025-01-09/2025-01-15,168,0.5242614528328814,0.041935139745294614
B,2025-01-16/2025-01-22,168,0.5112271167048055,0.019357998646414576
B,2025-01-23/2025-01-29,168,0.4915662650602409,-0.014606881022754644
B,2025-01-30/2025-02-05,168,0.6153067129629629,0.19767227774022464
B,2025-02-06/2025-02-12,168,0.5802872991039681,0.1388192371213529
B,2025-02-13/2025-02-19,168,0.542824730572887,0.07415541145404549
B,2025-02-20/2025-02-26,168,0.4653437278525868,-0.06002323378258002
B,2025-02-27/2025-03-05,168,0.5462357954545454,0.07999417612336529
B,2025-03-06/2025-03-12,168,0.5151278409090909,0.02617643960712253
B,2025-03-13/2025-03-19,168,0.508011911514464,0.014001523431960525
B,2025-03-20/2025-03-26,168,0.5243208647418575,0.04208272336526084
B,2025-03-27/2025-04-02,168,0.46488824801730355,-0.06029270490237835
