feature,split,n,episodes,edge,ep_edge,P_pos,wk_neg_frac,n_weeks,streak_hits,pnl
p_gbdt,>= 0.3116,590,260,-0.009389830508474578,-0.018987379077439654,0.212,0.5,6,1,320.30999999999983
p_gbdt,>= 0.3225,522,243,-0.011858237547892713,-0.02150164719010603,0.19633333333333333,0.5,6,1,12.050000000000182
p_gbdt,>= 0.3225,522,243,-0.011858237547892713,-0.02196867977442463,0.19066666666666668,0.5,6,1,12.050000000000182
p_gbdt,>= 0.3407,313,168,-0.00921725239616613,-0.0094068536233938,0.39166666666666666,0.6666666666666666,6,1,-199.07999999999996
p_gbdt,>= 0.3462,276,161,-0.010561594202898547,-0.010380652864044167,0.374,0.5,6,1,-378.6199999999999
p_gbdt,>= 0.376,107,79,-0.010140186915887845,-0.009767027777777782,0.404,0.5,6,0,-282.97999999999996
autocorr1_15,< -0.2884,120,43,-0.011783333333333331,0.008175343530823189,0.5593333333333333,0.6,5,0,-41.52000000000004
autocorr1_15,< -0.2088,240,81,-0.04232916666666666,-0.02542264468242092,0.26666666666666666,0.7142857142857143,7,0,-499.1300000000001
autocorr1_15,< -0.1679,358,118,-0.018684357541899437,0.0015345727722136627,0.5126666666666667,0.42857142857142855,7,0,-257.8000000000001
autocorr1_15,< -0.1129,479,159,-0.01672442588726514,-0.005828811044330697,0.418,0.7142857142857143,7,0,-169.55999999999997
autocorr1_30,< -0.2503,120,40,-0.027,0.019269479545454552,0.651,0.6666666666666666,3,0,-24.399999999999963
autocorr1_30,< -0.1559,240,80,-0.029654166666666662,-0.008941853930675803,0.4096666666666667,0.5,6,0,-162.79000000000002
autocorr1_30,< -0.1185,359,117,-0.03084122562674095,-0.00432264944623278,0.44466666666666665,0.5,6,2,-320.16999999999996
autocorr1_30,< -0.08534,479,159,-0.0060062630480167,0.008569773513058104,0.6143333333333333,0.6666666666666666,6,2,135.6599999999999
ou_theta,< 1.515,239,79,-0.005648535564853547,0.041876694535773654,0.8636666666666667,0.2857142857142857,7,0,281.4
ou_halflife,>= 0.3845,359,112,-0.010924791086350976,0.00829047195541727,0.5996666666666667,0.5714285714285714,7,0,-355.4799999999999
ou_halflife,>= 0.4258,240,80,-0.0078125,0.020867167098063973,0.701,0.5,6,0,-52.24000000000001
ou_halflife,>= 0.5202,121,38,-0.024669421487603302,-0.008780877349624055,0.44333333333333336,0.4,5,0,-142.75000000000003
ou_mu_distance,< -0.6102,238,105,-0.01776050420168067,-0.05182213539193455,0.069,0.5714285714285714,7,0,-199.32999999999993
ou_mu_distance,< -0.3162,358,153,-0.016011173184357533,-0.04301625730488274,0.07333333333333333,0.7142857142857143,7,0,-707.83
ou_mu_distance,< -0.1326,478,194,-0.012891213389121338,-0.020057947619769555,0.227,0.75,8,0,-530.8999999999999
kalman_velocity,< -0.0022,115,61,-0.006408695652173926,-0.047110030965391625,0.17133333333333334,0.375,8,0,297.18
kalman_velocity,< -0.001414,240,104,-0.04227916666666667,-0.08127075442266067,0.007333333333333333,0.625,8,0,-280.26000000000005
kalman_velocity,< -0.000672,358,154,-0.02224022346368715,-0.03804810734704809,0.10666666666666667,0.625,8,0,-236.12
kalman_velocity,< -0.0002174,479,195,-0.012144050104384125,-0.02598716674297924,0.156,0.625,8,0,26.980000000000175
kalman_velocity,>= 0.002993,120,53,-0.0253625,-0.010212604559748432,0.42433333333333334,0.5,8,2,-754.53
kalman_residual,< -0.003238,119,71,-0.06972268907563026,-0.030490543427230052,0.26466666666666666,0.5,8,0,-369.7700000000001
kalman_residual,< -0.002062,239,120,-0.018146443514644343,-0.025052744675925918,0.22366666666666668,0.5,8,0,142.32999999999998
kalman_residual,< -0.000599,477,208,-0.016031446540880505,-0.021180896963713367,0.20266666666666666,0.625,8,0,-42.79000000000008
cvd_4h,>= 2.779e+04,155,62,-0.02332580645161292,-0.044632444092421904,0.15233333333333332,0.6666666666666666,9,0,-356.75000000000006
cg_futures_delta_4h,>= -1.334e+07,938,315,-0.008011727078891254,-0.0003159483355856359,0.48966666666666664,0.5555555555555556,9,4,471.1399999999997
cg_futures_delta_4h,>= -5.252e+06,780,273,-0.018570512820512818,-0.005733939612063419,0.39766666666666667,0.5555555555555556,9,4,-298.7299999999999
cg_futures_delta_4h,>= 9.306e+05,628,221,-0.021129777070063693,-0.01788470962370962,0.22966666666666666,0.6666666666666666,9,0,-569.74
cg_futures_delta_4h,>= 8.419e+06,469,164,-0.01688592750533048,-0.011633600784632032,0.3403333333333333,0.6666666666666666,9,0,-452.7800000000001
