logged_at,contract_ticker,p_market,decision,side,would_win,would_pnl,asset,logged_at_p,effective,smc_state,be,won
2026-04-11 00:06:48,KXBTCD-26APR1021-T72999.99,0.225,trade,yes,False,-50.0,BTC,2026-04-11 00:06:48+00:00,2026-04-11 00:00:00+00:00,0.0,0.225,False
2026-04-11 00:17:08,KXBTCD-26APR1021-T72899.99,0.545,trade,yes,False,-50.0,BTC,2026-04-11 00:17:08+00:00,2026-04-11 00:00:00+00:00,0.0,0.545,False
2026-04-11 00:27:43,KXBTCD-26APR1021-T73099.99,0.075,trade,yes,False,-50.0,BTC,2026-04-11 00:27:43+00:00,2026-04-11 00:00:00+00:00,0.0,0.075,False
2026-04-11 01:00:35,KXBTCD-26APR1022-T72799.99,0.685,trade,yes,True,22.99,BTC,2026-04-11 01:00:35+00:00,2026-04-11 01:00:00+00:00,0.0,0.685,True
2026-04-11 01:11:15,KXBTCD-26APR1022-T72999.99,0.155,trade,yes,False,-50.0,BTC,2026-04-11 01:11:15+00:00,2026-04-11 01:00:00+00:00,0.0,0.155,False
2026-04-11 01:29:15,KXBTCD-26APR1022-T72899.99,0.22,trade,yes,True,177.27,BTC,2026-04-11 01:29:15+00:00,2026-04-11 01:00:00+00:00,0.0,0.22,True
2026-04-11 02:01:00,KXBTCD-26APR1023-T73099.99,0.22,trade,yes,False,-50.0,BTC,2026-04-11 02:01:00+00:00,2026-04-11 02:00:00+00:00,0.0,0.22,False
2026-04-11 02:11:37,KXBTCD-26APR1023-T72999.99,0.48,trade,yes,False,-50.0,BTC,2026-04-11 02:11:37+00:00,2026-04-11 02:00:00+00:00,0.0,0.48,False
2026-04-11 02:22:12,KXBTCD-26APR1023-T73199.99,0.1,trade,yes,False,-47.08,BTC,2026-04-11 02:22:12+00:00,2026-04-11 02:00:00+00:00,0.0,0.1,False
2026-04-11 03:00:23,KXBTCD-26APR1100-T73099.99,0.31,trade,yes,False,-50.0,BTC,2026-04-11 03:00:23+00:00,2026-04-11 03:00:00+00:00,0.0,0.31,False
2026-04-11 03:10:58,KXBTCD-26APR1100-T72999.99,0.71,trade,yes,False,-50.0,BTC,2026-04-11 03:10:58+00:00,2026-04-11 03:00:00+00:00,0.0,0.71,False
2026-04-11 03:21:33,KXBTCD-26APR1100-T73199.99,0.135,trade,yes,False,-50.0,BTC,2026-04-11 03:21:33+00:00,2026-04-11 03:00:00+00:00,0.0,0.135,False
2026-04-11 04:03:58,KXBTCD-26APR1101-T72999.99,0.185,trade,yes,False,-50.0,BTC,2026-04-11 04:03:58+00:00,2026-04-11 04:00:00+00:00,0.0,0.185,False
2026-04-11 04:14:36,KXBTCD-26APR1101-T72899.99,0.435,trade,yes,False,-50.0,BTC,2026-04-11 04:14:36+00:00,2026-04-11 04:00:00+00:00,0.0,0.435,False
2026-04-11 04:25:12,KXBTCD-26APR1101-T72699.99,0.56,trade,yes,True,39.29,BTC,2026-04-11 04:25:12+00:00,2026-04-11 04:00:00+00:00,0.0,0.56,True
2026-04-11 05:07:43,KXBTCD-26APR1102-T72799.99,0.585,trade,yes,False,-50.0,BTC,2026-04-11 05:07:43+00:00,2026-04-11 05:00:00+00:00,0.0,0.585,False
2026-04-11 05:18:21,KXBTCD-26APR1102-T72699.99,0.705,trade,yes,True,20.92,BTC,2026-04-11 05:18:21+00:00,2026-04-11 05:00:00+00:00,0.0,0.705,True
2026-04-11 05:25:46,KXBTCD-26APR1102-T72899.99,0.245,trade,no,True,16.23,BTC,2026-04-11 05:25:46+00:00,2026-04-11 05:00:00+00:00,0.0,0.755,True
2026-04-11 06:18:34,KXBTCD-26APR1103-T72699.99,0.685,trade,yes,True,22.99,BTC,2026-04-11 06:18:34+00:00,2026-04-11 06:00:00+00:00,0.0,0.685,True
2026-04-11 06:56:29,KXBTCD-26APR1103-T72799.99,0.595,trade,yes,True,34.03,BTC,2026-04-11 06:56:29+00:00,2026-04-11 06:00:00+00:00,0.0,0.595,True
2026-04-11 07:00:43,KXBTCD-26APR1104-T72699.99,0.795,trade,yes,True,12.89,BTC,2026-04-11 07:00:43+00:00,2026-04-11 07:00:00+00:00,0.0,0.795,True
2026-04-11 07:04:58,KXBTCD-26APR1104-T72899.99,0.25,trade,no,True,16.67,BTC,2026-04-11 07:04:58+00:00,2026-04-11 07:00:00+00:00,0.0,0.75,True
2026-04-11 07:24:00,KXBTCD-26APR1104-T72799.99,0.66,trade,yes,False,-50.0,BTC,2026-04-11 07:24:00+00:00,2026-04-11 07:00:00+00:00,0.0,0.66,False
2026-04-11 08:01:06,KXBTCD-26APR1105-T72699.99,0.715,trade,yes,True,19.93,BTC,2026-04-11 08:01:06+00:00,2026-04-11 08:00:00+00:00,0.0,0.715,True
2026-04-11 08:11:41,KXBTCD-26APR1105-T72799.99,0.575,trade,yes,False,-50.0,BTC,2026-04-11 08:11:41+00:00,2026-04-11 08:00:00+00:00,0.0,0.575,False
2026-04-11 08:12:44,KXBTCD-26APR1105-T72899.99,0.24,trade,no,True,15.79,BTC,2026-04-11 08:12:44+00:00,2026-04-11 08:00:00+00:00,0.0,0.76,True
2026-04-11 09:00:20,KXBTCD-26APR1106-T72699.99,0.495,trade,yes,True,51.01,BTC,2026-04-11 09:00:20+00:00,2026-04-11 09:00:00+00:00,0.0,0.495,True
2026-04-11 09:01:23,KXBTCD-26APR1106-T72799.99,0.235,trade,no,False,-50.0,BTC,2026-04-11 09:01:23+00:00,2026-04-11 09:00:00+00:00,0.0,0.765,False
2026-04-11 09:17:16,KXBTCD-26APR1106-T72899.99,0.22,trade,no,False,-50.0,BTC,2026-04-11 09:17:16+00:00,2026-04-11 09:00:00+00:00,0.0,0.78,False
2026-04-11 10:00:39,KXBTCD-26APR1107-T72899.99,0.615,trade,yes,False,-50.0,BTC,2026-04-11 10:00:39+00:00,2026-04-11 10:00:00+00:00,0.0,0.615,False
2026-04-11 10:04:53,KXBTCD-26APR1107-T72999.99,0.245,trade,no,True,16.23,BTC,2026-04-11 10:04:53+00:00,2026-04-11 10:00:00+00:00,0.0,0.755,True
2026-04-11 10:12:18,KXBTCD-26APR1107-T72799.99,0.665,trade,yes,True,25.19,BTC,2026-04-11 10:12:18+00:00,2026-04-11 10:00:00+00:00,0.0,0.665,True
2026-04-11 11:00:56,KXBTCD-26APR1108-T72799.99,0.75,trade,yes,True,16.67,BTC,2026-04-11 11:00:56+00:00,2026-04-11 11:00:00+00:00,0.0,0.75,True
2026-04-11 11:11:32,KXBTCD-26APR1108-T72899.99,0.495,trade,yes,True,51.01,BTC,2026-04-11 11:11:32+00:00,2026-04-11 11:00:00+00:00,0.0,0.495,True
2026-04-11 12:00:11,KXBTCD-26APR1109-T72899.99,0.63,trade,yes,True,29.37,BTC,2026-04-11 12:00:11+00:00,2026-04-11 12:00:00+00:00,0.0,0.63,True
2026-04-11 12:13:56,KXBTCD-26APR1109-T72999.99,0.255,trade,no,True,17.11,BTC,2026-04-11 12:13:56+00:00,2026-04-11 12:00:00+00:00,0.0,0.745,True
2026-04-11 13:00:25,KXBTCD-26APR1110-T72899.99,0.6,trade,yes,False,-50.0,BTC,2026-04-11 13:00:25+00:00,2026-04-11 13:00:00+00:00,0.0,0.6,False
2026-04-11 13:11:01,KXBTCD-26APR1110-T72499.99,0.675,trade,yes,True,24.07,BTC,2026-04-11 13:11:01+00:00,2026-04-11 13:00:00+00:00,0.0,0.675,True
2026-04-11 13:27:54,KXBTCD-26APR1110-T72699.99,0.62,trade,yes,True,30.65,BTC,2026-04-11 13:27:54+00:00,2026-04-11 13:00:00+00:00,0.0,0.62,True
2026-04-11 14:00:41,KXBTCD-26APR1111-T72599.99,0.67,trade,yes,True,24.63,BTC,2026-04-11 14:00:41+00:00,2026-04-11 14:00:00+00:00,0.0,0.67,True
2026-04-11 14:01:45,KXBTCD-26APR1111-T72799.99,0.205,trade,no,True,12.89,BTC,2026-04-11 14:01:45+00:00,2026-04-11 14:00:00+00:00,0.0,0.795,True
2026-04-11 14:11:17,KXBTCD-26APR1111-T72699.99,0.615,trade,yes,True,31.3,BTC,2026-04-11 14:11:17+00:00,2026-04-11 14:00:00+00:00,0.0,0.615,True
2026-04-11 15:28:00,KXBTCD-26APR1112-T72899.99,0.215,trade,no,True,13.69,BTC,2026-04-11 15:28:00+00:00,2026-04-11 15:00:00+00:00,0.0,0.785,True
2026-04-11 15:32:12,KXBTCD-26APR1112-T72799.99,0.575,trade,yes,True,36.96,BTC,2026-04-11 15:32:12+00:00,2026-04-11 15:00:00+00:00,0.0,0.575,True
2026-04-11 16:00:38,KXBTCD-26APR1113-T72799.99,0.725,trade,yes,True,18.97,BTC,2026-04-11 16:00:38+00:00,2026-04-11 16:00:00+00:00,0.0,0.725,True
2026-04-11 16:05:54,KXBTCD-26APR1113-T72999.99,0.225,trade,no,False,-50.0,BTC,2026-04-11 16:05:54+00:00,2026-04-11 16:00:00+00:00,0.0,0.775,False
2026-04-11 16:16:54,KXBTCD-26APR1113-T72899.99,0.625,trade,yes,True,30.0,BTC,2026-04-11 16:16:54+00:00,2026-04-11 16:00:00+00:00,0.0,0.625,True
2026-04-11 17:04:13,KXBTCD-26APR1114-T73199.99,0.26,trade,no,True,17.57,BTC,2026-04-11 17:04:13+00:00,2026-04-11 17:00:00+00:00,0.0,0.74,True
2026-04-11 17:05:17,KXBTCD-26APR1114-T72999.99,0.63,trade,yes,True,29.37,BTC,2026-04-11 17:05:17+00:00,2026-04-11 17:00:00+00:00,0.0,0.63,True
2026-04-11 17:16:52,KXBTCD-26APR1114-T72899.99,0.74,trade,yes,True,17.57,BTC,2026-04-11 17:16:52+00:00,2026-04-11 17:00:00+00:00,0.0,0.74,True
2026-04-11 18:01:00,KXBTCD-26APR1115-T72999.99,0.805,trade,yes,True,12.11,BTC,2026-04-11 18:01:00+00:00,2026-04-11 18:00:00+00:00,0.0,0.805,True
2026-04-11 18:02:03,KXBTCD-26APR1115-T73199.99,0.295,trade,no,False,-50.0,BTC,2026-04-11 18:02:03+00:00,2026-04-11 18:00:00+00:00,0.0,0.7050000000000001,False
2026-04-11 18:15:44,KXBTCD-26APR1115-T73099.99,0.695,trade,yes,True,21.94,BTC,2026-04-11 18:15:44+00:00,2026-04-11 18:00:00+00:00,0.0,0.695,True
2026-04-11 19:00:56,KXBTCD-26APR1117-T73499.99,0.58,trade,yes,False,-50.0,BTC,2026-04-11 19:00:56+00:00,2026-04-11 19:00:00+00:00,0.0,0.58,False
2026-04-11 19:01:58,KXBTCD-26APR1116-T73699.99,0.305,trade,yes,True,66.54,BTC,2026-04-11 19:01:58+00:00,2026-04-11 19:00:00+00:00,0.0,0.305,True
2026-04-11 19:12:31,KXBTCD-26APR1116-T73799.99,0.245,trade,yes,False,-43.41,BTC,2026-04-11 19:12:31+00:00,2026-04-11 19:00:00+00:00,0.0,0.245,False
2026-04-11 20:03:55,KXBTCD-26APR1117-T73749.99,0.25,trade,no,True,16.67,BTC,2026-04-11 20:03:55+00:00,2026-04-11 20:00:00+00:00,0.0,0.75,True
2026-04-11 20:36:29,KXBTCD-26APR1117-T73249.99,0.745,trade,yes,True,17.11,BTC,2026-04-11 20:36:29+00:00,2026-04-11 20:00:00+00:00,0.0,0.745,True
2026-04-11 21:01:04,KXBTCD-26APR1118-T73199.99,0.73,trade,yes,True,18.49,BTC,2026-04-11 21:01:04+00:00,2026-04-11 21:00:00+00:00,0.0,0.73,True
2026-04-11 21:02:09,KXBTCD-26APR1118-T73399.99,0.28,trade,no,False,-50.0,BTC,2026-04-11 21:02:09+00:00,2026-04-11 21:00:00+00:00,0.0,0.72,False
2026-04-11 21:11:45,KXBTCD-26APR1118-T73299.99,0.725,trade,yes,True,18.97,BTC,2026-04-11 21:11:45+00:00,2026-04-11 21:00:00+00:00,0.0,0.725,True
2026-04-11 22:01:59,KXBTCD-26APR1119-T73299.99,0.735,trade,yes,True,18.03,BTC,2026-04-11 22:01:59+00:00,2026-04-11 22:00:00+00:00,0.0,0.735,True
2026-04-11 22:04:08,KXBTCD-26APR1119-T73599.99,0.21,trade,no,True,13.29,BTC,2026-04-11 22:04:08+00:00,2026-04-11 22:00:00+00:00,0.0,0.79,True
2026-04-11 22:44:43,KXBTCD-26APR1119-T73499.99,0.075,trade,yes,False,-17.1,BTC,2026-04-11 22:44:43+00:00,2026-04-11 22:00:00+00:00,0.0,0.075,False
2026-04-11 23:00:44,KXBTCD-26APR1120-T73299.99,0.62,trade,yes,False,-50.0,BTC,2026-04-11 23:00:44+00:00,2026-04-11 23:00:00+00:00,0.0,0.62,False
2026-04-11 23:01:48,KXBTCD-26APR1120-T73499.99,0.225,trade,no,True,14.52,BTC,2026-04-11 23:01:48+00:00,2026-04-11 23:00:00+00:00,0.0,0.775,True
