logged_at,decision_time,contract_ticker,close_ts,spot,strike,offset_pct,p_market,p_market_source,p_yes_model,z_score,vol_60m,vol_60m_model,vol_implied_kalshi,vol_ratio,spread,vol_eff,structure_bias,confirmation_bias,confirmation_score,no_score,obi_score,obi_raw,obi_exchanges,vpin_score,vpin_raw,funding_bias,avg_funding_rate,vol_score,vwap_score,vwap_signal,vwap_total,vwap_stretch_score,vwap_distance_pct,bearish_rejection,bullish_rejection,ema_stretch_score,stoch_bias,stoch_k,stoch_d,stoch_crossover_active,ema_stack_bias,ema_alignment,z_shift,direction_strength,raw_edge,net_edge,decision,side,neutral_gate,pure_edge_gate,contracts_scanned,tau_minutes,gate_blocked,kelly_fraction,bet_fraction,bet_amount,bankroll,composite_trend,composite_rev,composite_p_up,chg_30m,chg_10m,chg_5m,sharp_move_active,stoch_flipped,resolved_yes,would_win,would_pnl,logged_at_parsed,cmf_raw,cmf_score,stoch_k_4h,p_up_v2,bp_5m,bp_1h,chg_1h,chg_2h,chg_3h,body_15m,dir_15m,p_gbdt,smc_4h,smc_1h,choch_1h,choch_4h,supply_pct,demand_pct,in_supply_zone,in_demand_zone,squeeze_1h,kc_pct_1h,kc_bo_1h,adx_1h,rvol_1h,pm_drift_5m,hour_utc,liq_score,liq_bias,ls_long_pct,oi_chg_pct,cvd_4h,cg_futures_delta_4h,cg_futures_ratio_4h,cg_futures_cvd_12h,cg_spot_cb_ratio_4h,cg_liq_ratio_4h,cg_liq_total_4h,hl_ls_ratio,hl_squeeze_idx,hl_liq_ratio_4h,all_liq_ratio_1h,all_liq_ratio_4h,max_pain_nearest,max_pain_dist_pct,opt_pc_ratio,arima_forecast_1h,markov_regime_daily,markov_regime_7state,ob_imbalance,ob_path_ask_usd,ob_path_bid_usd,ob_ask_frac,ob_bid_wall_pct,ob_ask_wall_pct,hmm_vol_state,hmm_r1_prob,hmm_vol_k10,hmm_time_in_state,ou_z_score,ou_halflife_min,ou_tau_drift,hs_pattern_type,hs_bars_since_break,hs_r2,hs_neck_slope,hs_head_height,hs_head_width,flag_signal,flag_bull_bars_ago,flag_bear_bars_ago,flag_bull_tip_y,flag_bear_tip_y,flag_bull_pole_pct,flag_bear_pole_pct,pip_last_slope,pip_up_frac,pip_n_turns,v_hawk,hawk_vol_regime,pc1_rsi,ou_theta,hurst_exponent,autocorr1_15,autocorr1_30,kalman_velocity,kalman_residual,hmm_ms_state,hmm_ms_prob,hmm_of_state,hmm_of_prob,hmm_vd_state,hmm_vd_prob,hmm_pnl_state,hmm_ps_state,hmm_gd_state,hmm_zdrift_state,spot_at_expiry,price_move_pct,miss_pct,loss_margin_pct,loss_category,p_up_v3,pup_v3_hmm_state,eth_p_up_v1,p_eth,week,yw,be,agree,macro_bull,macro_sideways,macro_bear,garch_ratio,macd_hist_1h_recon,donch_1h_recon,hmm_ms_state_recon,hmm_vd_state_recon,hmm_of_state_recon
2026-05-04 15:00:00+00:00,2026-05-04 14:00,KXETHD-26MAY0412-T2379.99,2026-05-04T16:00:00Z,2371.49,2379.99,0.3583,0.31,real,0.160626,0.3137,0.00109993,0.00125622,0.00093154,1.3485,0.05,0.0011873,0.0,-1.0,0.0,2.0,-1.0,-0.1681,2.0,0.0,0.1858,0.0,1.532e-05,0.0,0.0,0.0,0.0,0.0,0.3493,False,False,-1.0,-1.0,90.37,86.78,False,0.0,neutral,0.0,0.0,0.174374,0.149936,trade,no,False,False,43.0,59.94,,0.52052,0.05,30.0,600.0,2.0,-8.0,0.4014,1.2249,0.3181,-0.1299,True,,False,True,13.48,2026-05-04 15:00:00+00:00,0.3213,1.0,,,,,,,,,,,bullish,bullish,False,False,6.871,6.804,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5375692386631027,19,2026-W19,0.69,False,1.938507018922598e-07,0.9005938012759023,0.09940600487339482,1.3673822182770718,-2.568863911802895,0.45959137343927436,4,7,
2026-05-04 16:03:08+00:00,2026-05-04 16:00,KXETHD-26MAY0413-T2339.99,2026-05-04T17:00:00Z,2349.99,2339.99,-0.4254,0.71,real,0.754941,-0.4099,0.00151672,0.00153901,0.00102193,1.506,0.04,0.00137961,0.0,-1.0,0.0,0.0,0.0,0.0711,2.0,0.0,0.6818,0.0,8.35e-06,-1.0,0.0,0.0,1.0,1.0,-0.7502,False,False,1.0,0.0,41.3,43.1,False,0.0,neutral,0.0,0.0,0.044941,0.015528,trade,yes,False,False,42.0,56.82,,0.154968,0.05,30.0,600.0,0.0,1.0,0.5245,0.1894,0.1313,-0.0472,False,,True,True,12.25,2026-05-04 16:03:08+00:00,0.2886,1.0,,,,,,,,,,,bullish,bullish,False,False,7.849,5.951,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4987134456486728,19,2026-W19,0.71,False,1.199966406240008e-08,0.9965614329757124,0.003438555024625793,1.4622940322093307,-2.224009368340921,0.5228149829738957,3,7,
2026-05-04 16:22:23+00:00,2026-05-04 16:00,KXETHD-26MAY0413-T2359.99,2026-05-04T17:00:00Z,2360.31,2359.99,-0.0136,0.53,real,0.626794,-0.023,0.0012112,0.00109493,0.00029391,3.7253,0.03,0.00089225,0.0,-1.0,0.0,1.0,-1.0,-0.1302,2.0,0.0,0.7927,0.0,2.963e-05,-1.0,0.0,0.0,0.0,0.0,-0.1339,False,False,-1.0,0.0,62.43,43.84,False,0.0,bullish,0.0,0.0,0.096794,0.064357,trade,yes,False,False,42.0,37.56,,0.205945,0.05,30.0,600.0,1.0,0.0,0.5963,0.6143,0.8293,0.6512,True,,False,False,-30.0,2026-05-04 16:22:23+00:00,0.2886,1.0,,,,,,,,,,,bullish,bullish,False,False,7.377,6.362,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4987134456486728,19,2026-W19,0.53,False,1.199966406240008e-08,0.9965614329757124,0.003438555024625793,1.4622940322093307,-2.224009368340921,0.5228149829738957,3,7,
2026-05-04 17:03:01+00:00,2026-05-04 17:00,KXETHD-26MAY0414-T2359.99,2026-05-04T18:00:00Z,2358.61,2359.99,0.0587,0.5,real,0.591283,0.0747,0.00088268,0.00068806,,,0.03,0.00123955,-1.0,-1.0,0.0,0.0,0.0,-0.0149,2.0,1.0,0.8937,0.0,9.86e-06,1.0,0.0,0.0,0.0,0.0,-0.0223,False,False,-1.0,0.0,58.99,58.95,False,0.0,bullish,0.0,0.0,0.106283,0.073799,trade,yes,False,False,42.0,56.94,,0.206375,0.05,30.0,600.0,1.0,0.0,0.5963,0.059,0.0836,0.2742,False,,True,True,30.0,2026-05-04 17:03:01+00:00,0.2634,1.0,,,,,,,,,,,bullish,bullish,False,False,7.455,6.295,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4690257075228479,19,2026-W19,0.5,False,1.480055049933545e-10,0.9999845941907738,1.5405661214923013e-05,1.3376910381607732,-0.8044291725782884,0.7298524404086256,3,7,
2026-05-04 18:03:26+00:00,2026-05-04 18:00,KXETHD-26MAY0415-T2379.99,2026-05-04T19:00:00Z,2371.09,2379.99,0.3754,0.26,real,0.150169,0.6757,0.00059853,0.00080717,0.00077473,1.0419,0.01,0.00080176,-1.0,-1.0,0.0,1.0,0.0,-0.0727,2.0,0.0,0.4602,0.0,3.79e-06,1.0,0.0,0.0,-1.0,-1.0,0.5947,False,False,-1.0,-1.0,76.99,78.86,True,0.0,bullish,0.0,0.0,0.114831,0.090897,trade,no,False,False,43.0,56.52,,0.433323,0.05,30.0,600.0,2.0,-2.0,0.4583,0.158,-0.3712,-0.1706,False,,False,True,10.54,2026-05-04 18:03:26+00:00,0.2768,1.0,,,,,,,,,,,bullish,bullish,False,False,6.889,6.788,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5376399567826569,19,2026-W19,0.74,False,3.3309073997487627e-10,0.9999330354181204,6.696424878524537e-05,1.2021790285308482,-0.9399804538466743,0.5530079455164592,3,7,
2026-05-05 01:09:00+00:00,2026-05-05 01:00,KXETHD-26MAY0422-T2359.99,2026-05-05T02:00:00Z,2358.93,2359.99,0.0449,0.45,real,0.454169,0.2353,0.00043652,0.00041149,0.00050023,0.8226,0.09,0.00035147,-1.0,-1.0,0.0,1.0,-1.0,-0.1272,2.0,0.0,0.4892,0.0,1.929e-05,0.0,0.0,0.0,-1.0,-1.0,0.2305,False,False,-1.0,0.0,69.04,60.24,False,0.0,neutral,0.0,0.0,0.049169,0.017301,trade,yes,False,False,43.0,50.96,,0.082637,0.041318,24.79,600.0,1.0,0.0,0.6103,0.2013,0.0004,0.0984,False,,True,True,30.3,2026-05-05 01:09:00+00:00,0.2069,1.0,,,,,,,,,,,bullish,bullish,False,False,7.44,6.308,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4984048964799983,19,2026-W19,0.45,False,2.616309814972968e-07,0.9630572499246965,0.036942488444334,0.879829167133856,-1.1197392735930531,0.7220100809531053,3,7,
2026-05-05 02:03:15+00:00,2026-05-05 02:00,KXETHD-26MAY0423-T2359.99,2026-05-05T03:00:00Z,2361.27,2359.99,-0.0544,0.64,real,0.694175,-0.2867,0.00027391,0.00019141,0.00020146,0.9501,0.19,0.00037039,-1.0,-1.0,0.0,1.0,0.0,0.0455,2.0,0.0,0.6514,0.0,4.37e-06,0.0,0.0,0.0,-1.0,-1.0,0.1333,False,False,0.0,-1.0,82.45,87.43,True,1.0,bullish,0.0,0.0,0.054175,0.023047,trade,yes,False,False,42.0,56.71,,0.150485,0.05,30.0,600.0,1.0,-1.0,0.4964,-0.0381,-0.055,-0.055,False,,True,True,16.88,2026-05-05 02:03:15+00:00,0.2244,1.0,,,,,,,,,,,bullish,bullish,False,False,7.333,6.401,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4740612021251785,19,2026-W19,0.64,False,6.674219655754556e-07,0.5822695776911307,0.41772975488690944,0.8102177347222577,-0.5177291219567133,0.7850924087368244,3,7,
2026-05-05 06:18:17+00:00,2026-05-05 06:00,KXETHD-26MAY0503-T2369.99,2026-05-05T07:00:00Z,2375.21,2369.99,-0.2196,0.75,real,0.801282,-0.9022,0.00047105,0.00047496,0.00050497,0.9406,0.02,0.00049674,0.0,-1.0,0.0,0.0,0.0,-0.0132,2.0,0.0,0.6674,0.0,-2.162e-05,-1.0,0.0,0.0,0.0,0.0,0.0339,False,False,1.0,0.0,41.18,49.34,False,0.0,bullish,0.0,0.0,0.051282,0.023157,trade,yes,False,False,40.0,41.67,,0.205128,0.05,30.0,600.0,1.0,0.0,0.6103,-0.1463,-0.1257,-0.0774,False,,True,True,10.0,2026-05-05 06:18:17+00:00,0.0039,0.0,,,,,,,,,,,bullish,bullish,False,False,6.704,6.95,False,False,True,,,24.04,0.6043,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4752376700421117,19,2026-W19,0.75,False,5.483600352674691e-06,0.00200062392093923,0.9979938924787141,0.755357221260694,1.5201034803309588,0.7698449976514821,3,7,
2026-05-05 08:01:01+00:00,2026-05-05 08:00,KXETHD-26MAY0505-T2369.99,2026-05-05T09:00:00Z,2380.67,2369.99,-0.4488,0.7,real,0.942797,-0.9868,0.00040893,0.00041224,0.00111726,0.369,0.01,0.0007068,1.0,-1.0,0.0,1.0,-1.0,-0.3186,2.0,0.0,0.6472,0.0,-7.27e-06,0.0,0.0,0.0,-1.0,-1.0,0.2575,False,False,0.0,0.0,56.39,64.82,True,1.0,bullish,0.0,0.0,0.242797,0.213097,trade,yes,False,False,42.0,58.93,,0.809322,0.05,30.0,600.0,3.0,-2.0,0.5613,-0.0957,-0.0965,-0.0965,False,,True,True,12.86,2026-05-05 08:01:01+00:00,-0.4284,-1.0,,,,,,,,,,,bullish,bullish,False,False,6.459,7.163,False,False,True,,,24.06,0.1532,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4871318778079121,19,2026-W19,0.7,False,1.2902208852084804e-05,0.0018569267788835799,0.9981301710122752,0.6817493032990867,1.0732995734424087,0.7751683106309739,3,7,
2026-05-05 11:00:54+00:00,2026-05-05 11:00,KXETHD-26MAY0508-T2369.99,2026-05-05T12:00:00Z,2376.5,2369.99,-0.274,0.7,real,0.801282,-0.8201,0.00029768,0.00025291,0.00068083,0.3715,0.17,0.00064019,1.0,-1.0,0.0,1.0,-1.0,-0.1777,2.0,0.0,0.5641,0.0,3.966e-05,0.0,0.0,0.0,0.0,0.0,0.0096,False,False,0.0,0.0,38.75,42.6,False,0.0,bullish,0.0,0.0,0.101282,0.071582,trade,yes,False,False,40.0,59.05,,0.337607,0.05,30.0,600.0,1.0,0.0,0.6103,-0.0215,-0.1001,-0.1001,False,,True,True,12.86,2026-05-05 11:00:54+00:00,-0.2405,-1.0,,,,,,,,,,,bullish,bullish,False,False,6.645,7.0,False,False,True,,,22.5,0.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4766320575191872,19,2026-W19,0.7,False,3.689705335888871e-05,0.0002210816805109633,0.9997420212661335,0.6147015776900918,-0.029050804114458373,0.7461739455020544,3,1,
