feature,split,n_rescued,wr_rescued,edge_rescued,pnl_rescued,n_weeks,worst_wk_share,edge_remainder,pnl_remainder
p_market,>=0.489(q0.6),206,0.6262135922330098,-0.040922330097087345,-573.7,12,26.067917544024354,-0.09938311688311685,-3208.34
p_market,<0.489(q0.6),308,0.538961038961039,-0.09938311688311685,-3208.34,12,31.329274946511436,-0.040922330097087345,-573.7
p_market,>=0.575(q0.7),155,0.6903225806451613,-0.022806451612903178,-257.9000000000001,11,32.27127270894751,-0.09889972144846804,-3524.140000000001
p_market,<0.575(q0.7),359,0.5236768802228412,-0.09889972144846804,-3524.140000000001,12,27.971363226205543,-0.022806451612903178,-257.9000000000001
p_market,>=0.68(q0.8),105,0.7333333333333333,-0.020047619047619092,-116.98999999999998,11,17.015712072746293,-0.09030562347188265,-3665.0499999999997
p_market,<0.68(q0.8),409,0.5330073349633252,-0.09030562347188265,-3665.0499999999997,12,25.19324191408261,-0.020047619047619092,-116.98999999999998
p_market,>=0.74(q0.9),59,0.6779661016949152,-0.10966101694915265,-364.92,10,26.355277822002872,-0.07158241758241768,-3417.1200000000003
p_market,<0.74(q0.9),455,0.5604395604395604,-0.07158241758241768,-3417.1200000000003,12,22.920411119060496,-0.10966101694915265,-364.92
p_up_v2,>=0.4503(q0.2),73,0.5205479452054794,-0.17561643835616436,-907.2300000000001,6,38.94271573911797,-0.30277777777777776,-468.66
p_up_v2,<0.4503(q0.2),18,0.3888888888888889,-0.30277777777777776,-468.66,6,31.5579906348549,-0.17561643835616436,-907.2300000000001
p_up_v2,>=0.5073(q0.3),64,0.515625,-0.18562499999999993,-923.5699999999999,6,25.564927401279817,-0.23666666666666658,-452.32
p_up_v2,<0.5073(q0.3),27,0.4444444444444444,-0.23666666666666658,-452.32,6,43.753036258446315,-0.18562499999999993,-923.5699999999999
p_up_v2,>=0.5191(q0.4),55,0.5272727272727272,-0.17181818181818176,-708.2999999999998,6,29.301143583227446,-0.24499999999999988,-667.59
p_up_v2,<0.5191(q0.4),36,0.4444444444444444,-0.24499999999999988,-667.59,6,29.67989334771342,-0.17181818181818176,-708.2999999999998
p_up_v2,>=0.5218(q0.5),46,0.5434782608695652,-0.14521739130434785,-529.15,6,28.105320573213668,-0.25755555555555554,-846.74
p_up_v2,<0.5218(q0.5),45,0.4444444444444444,-0.25755555555555554,-846.74,6,23.400335404020122,-0.14521739130434785,-529.15
p_up_v2,>=0.538(q0.6),37,0.5675675675675675,-0.1324324324324324,-367.92999999999995,6,43.22681449455278,-0.2475925925925927,-1007.96
p_up_v2,<0.538(q0.6),54,0.4444444444444444,-0.2475925925925927,-1007.96,6,28.602325489106704,-0.1324324324324324,-367.92999999999995
p_up_v2,>=0.5757(q0.7),28,0.5,-0.18928571428571428,-430.2,6,39.90831126743864,-0.20587301587301604,-945.6899999999999
p_up_v2,<0.5757(q0.7),63,0.49206349206349204,-0.20587301587301604,-945.6899999999999,6,26.207319523311018,-0.18928571428571428,-430.2
p_up_v2,>=0.5942(q0.8),19,0.5263157894736842,-0.14157894736842114,-162.29,6,36.10616104735429,-0.2163888888888889,-1213.6
p_up_v2,<0.5942(q0.8),72,0.4861111111111111,-0.2163888888888889,-1213.6,6,27.565919578114702,-0.14157894736842114,-162.29
p_up_v2,>=0.6199(q0.9),10,0.6,-0.05900000000000005,-3.739999999999988,4,31.228451506520766,-0.21827160493827152,-1372.15
p_up_v2,<0.6199(q0.9),81,0.48148148148148145,-0.21827160493827152,-1372.15,6,25.64515541303793,-0.05900000000000005,-3.739999999999988
p_yes_model,>=0.05703(q0.1),462,0.5497835497835498,-0.08326839826839827,-3754.3400000000006,12,23.067126475335947,-0.010961538461538578,-27.69999999999998
p_yes_model,<0.05703(q0.1),52,0.7884615384615384,-0.010961538461538578,-27.69999999999998,9,30.021540118470654,-0.08326839826839827,-3754.3400000000006
p_yes_model,>=0.1289(q0.2),411,0.5450121654501217,-0.08201946472019472,-3182.84,12,17.66724250908441,-0.05174757281553377,-599.1999999999999
p_yes_model,<0.1289(q0.2),103,0.6893203883495146,-0.05174757281553377,-599.1999999999999,11,31.78304333593533,-0.08201946472019472,-3182.84
p_yes_model,>=0.1846(q0.3),360,0.5472222222222223,-0.07779166666666659,-2499.0,12,24.469767334750866,-0.07165584415584414,-1283.04
p_yes_model,<0.1846(q0.3),154,0.6363636363636364,-0.07165584415584414,-1283.04,12,45.94541604580033,-0.07779166666666659,-2499.0
p_yes_model,>=0.2438(q0.4),308,0.5422077922077922,-0.07965909090909085,-2024.1899999999998,12,26.49309927073188,-0.07041262135922333,-1757.85
p_yes_model,<0.2438(q0.4),206,0.6213592233009708,-0.07041262135922333,-1757.85,12,32.32948151673334,-0.07965909090909085,-2024.1899999999998
p_yes_model,>=0.3355(q0.5),257,0.5836575875486382,-0.045836575875486396,-852.0799999999999,12,25.069602966207928,-0.10607003891050582,-2929.96
p_yes_model,<0.3355(q0.5),257,0.5642023346303502,-0.10607003891050582,-2929.96,12,31.957190591193303,-0.045836575875486396,-852.0799999999999
p_yes_model,>=0.5297(q0.6),206,0.6262135922330098,-0.03706310679611635,-450.9800000000001,12,26.019976177833904,-0.10196428571428573,-3331.0600000000004
p_yes_model,<0.5297(q0.6),308,0.538961038961039,-0.10196428571428573,-3331.0600000000004,12,31.158902248087205,-0.03706310679611635,-450.9800000000001
p_yes_model,>=0.6615(q0.7),158,0.6708860759493671,-0.03243670886075933,-331.28,11,21.327131272382985,-0.09526685393258427,-3450.76
p_yes_model,<0.6615(q0.7),356,0.5308988764044944,-0.09526685393258427,-3450.76,12,24.54605112987902,-0.03243670886075933,-331.28
p_yes_model,>=0.7577(q0.8),109,0.6880733944954128,-0.051009174311926864,-347.77,11,22.789759694576574,-0.08266666666666678,-3434.2700000000004
p_yes_model,<0.7577(q0.8),405,0.5432098765432098,-0.08266666666666678,-3434.2700000000004,12,24.322199477618245,-0.051009174311926864,-347.77
p_yes_model,>=0.826(q0.9),52,0.6923076923076923,-0.08461538461538476,-241.64999999999998,7,27.035311723105888,-0.07497835497835503,-3540.3900000000003
p_yes_model,<0.826(q0.9),462,0.5606060606060606,-0.07497835497835503,-3540.3900000000003,12,22.792686681410803,-0.08461538461538476,-241.64999999999998
pm_drift_5m,>=-0.032(q0.4),17,0.4117647058823529,-0.2952941176470588,-445.68999999999994,6,51.27936359382311,-0.2845454545454546,-156.95000000000002
pm_drift_5m,<-0.032(q0.4),11,0.45454545454545453,-0.2845454545454546,-156.95000000000002,5,22.42356479161044,-0.2952941176470588,-445.68999999999994
pm_drift_5m,>=-0.005(q0.5),14,0.42857142857142855,-0.2714285714285714,-346.66999999999996,6,44.85915940738857,-0.3107142857142859,-255.97
pm_drift_5m,<-0.005(q0.5),14,0.42857142857142855,-0.3107142857142859,-255.97,6,22.72141266554674,-0.2714285714285714,-346.66999999999996
pm_drift_5m,>=0.042(q0.6),11,0.45454545454545453,-0.23454545454545445,-222.28,4,68.17742558948589,-0.3276470588235294,-380.35999999999996
pm_drift_5m,<0.042(q0.6),17,0.4117647058823529,-0.3276470588235294,-380.35999999999996,8,24.41897150068356,-0.23454545454545445,-222.28
raw_edge,>=0.04623(q0.1),462,0.5800865800865801,-0.07152597402597405,-3401.8100000000004,12,24.716390833220185,-0.1152884615384614,-380.2300000000001
raw_edge,<0.04623(q0.1),52,0.5192307692307693,-0.1152884615384614,-380.2300000000001,11,21.18419658934435,-0.07152597402597405,-3401.8100000000004
raw_edge,>=0.05168(q0.2),411,0.5766423357664233,-0.07287104622871066,-3163.25,12,30.794910297953056,-0.08825242718446624,-618.7899999999998
raw_edge,<0.05168(q0.2),103,0.5631067961165048,-0.08825242718446624,-618.7899999999998,12,16.46440668924866,-0.07287104622871066,-3163.25
raw_edge,>=0.05967(q0.3),360,0.5638888888888889,-0.08427777777777778,-3111.92,12,35.58144300846644,-0.056493506493506485,-670.12
raw_edge,<0.05967(q0.3),154,0.5974025974025974,-0.056493506493506485,-670.12,12,22.267469475566486,-0.08427777777777778,-3111.92
raw_edge,>=0.07186(q0.4),308,0.5746753246753247,-0.08160714285714288,-2400.99,12,32.00651855519112,-0.0675,-1381.05
raw_edge,<0.07186(q0.4),206,0.5728155339805825,-0.0675,-1381.05,12,24.73600511022244,-0.08160714285714288,-2400.99
raw_edge,>=0.09168(q0.5),257,0.603112840466926,-0.06848249027237341,-1619.71,12,27.748401630425185,-0.08342412451361869,-2162.33
raw_edge,<0.09168(q0.5),257,0.5447470817120622,-0.08342412451361869,-2162.33,12,16.571139806109283,-0.06848249027237341,-1619.71
raw_edge,>=0.106(q0.6),206,0.6262135922330098,-0.045412621359223304,-831.2499999999999,12,32.578251633493416,-0.09637987012987015,-2950.7900000000004
raw_edge,<0.106(q0.6),308,0.538961038961039,-0.09637987012987015,-2950.7900000000004,12,22.78857105128501,-0.045412621359223304,-831.2499999999999
raw_edge,>=0.1167(q0.7),154,0.6038961038961039,-0.05162337662337646,-748.9100000000001,12,38.03216930799499,-0.08636111111111111,-3033.13
raw_edge,<0.1167(q0.7),360,0.5611111111111111,-0.08636111111111111,-3033.13,12,29.331087028910723,-0.05162337662337646,-748.9100000000001
raw_edge,>=0.1343(q0.8),103,0.6310679611650486,-0.00936893203883482,-116.25999999999998,11,44.95567357566488,-0.0926399026763991,-3665.7800000000007
raw_edge,<0.1343(q0.8),411,0.559610705596107,-0.0926399026763991,-3665.7800000000007,12,29.803479750557866,-0.00936893203883482,-116.25999999999998
raw_edge,>=0.1694(q0.9),52,0.5576923076923077,-0.033076923076923115,-148.18999999999994,6,54.663283008588195,-0.08077922077922084,-3633.8500000000004
raw_edge,<0.1694(q0.9),462,0.5757575757575758,-0.08077922077922084,-3633.8500000000004,12,29.699535743372756,-0.033076923076923115,-148.18999999999994
rvol_1h,>=0.00156(q0.2),126,0.5317460317460317,-0.16539682539682554,-1452.3800000000003,8,15.771354604166952,-0.07656249999999998,-197.97999999999996
rvol_1h,<0.00156(q0.2),32,0.625,-0.07656249999999998,-197.97999999999996,8,35.45778924992408,-0.16539682539682554,-1452.3800000000003
rvol_1h,>=0.00443(q0.3),110,0.5363636363636364,-0.15609090909090906,-1150.9100000000003,8,17.801565717562625,-0.12750000000000006,-499.45000000000005
rvol_1h,<0.00443(q0.3),48,0.5833333333333334,-0.12750000000000006,-499.45000000000005,8,25.316597766512654,-0.15609090909090906,-1150.9100000000003
rvol_1h,>=0.01852(q0.4),95,0.5263157894736842,-0.16221052631578947,-1078.93,8,21.82996116522851,-0.12507936507936512,-571.4299999999998
rvol_1h,<0.01852(q0.4),63,0.5873015873015873,-0.12507936507936512,-571.4299999999998,8,22.85144287139282,-0.16221052631578947,-1078.93
rvol_1h,>=0.04815(q0.5),79,0.5189873417721519,-0.16379746835443032,-882.5,8,23.258923512747877,-0.13101265822784802,-767.8599999999998
rvol_1h,<0.04815(q0.5),79,0.5822784810126582,-0.13101265822784802,-767.8599999999998,8,24.929023519912484,-0.16379746835443032,-882.5
rvol_1h,>=0.08772(q0.6),63,0.5238095238095238,-0.16047619047619044,-598.88,8,31.49873493079327,-0.13873684210526338,-1051.48
rvol_1h,<0.08772(q0.6),95,0.5684210526315789,-0.13873684210526338,-1051.48,8,27.116064975082743,-0.16047619047619044,-598.88
rvol_1h,>=0.1937(q0.7),48,0.4791666666666667,-0.19416666666666665,-447.01,8,23.044306520002458,-0.1270000000000001,-1203.3500000000006
rvol_1h,<0.1937(q0.7),110,0.5818181818181818,-0.1270000000000001,-1203.3500000000006,8,26.299912743590813,-0.19416666666666665,-447.01
rvol_1h,>=0.3267(q0.8),32,0.40625,-0.26250000000000007,-357.49,8,32.04025209073893,-0.11817460317460327,-1292.8700000000003
rvol_1h,<0.3267(q0.8),126,0.5873015873015873,-0.11817460317460327,-1292.8700000000003,8,25.215280148704526,-0.26250000000000007,-357.49
rvol_1h,>=0.8035(q0.9),16,0.4375,-0.1925,-32.47999999999999,5,33.139827100924805,-0.14232394366197176,-1617.8800000000006
rvol_1h,<0.8035(q0.9),142,0.5633802816901409,-0.14232394366197176,-1617.8800000000006,8,23.263777288797684,-0.1925,-32.47999999999999
sharp_move_active,==False,429,0.5967365967365967,-0.06524475524475537,-2804.3,11,17.637622889874148,-0.13000000000000006,-977.74
sharp_move_active,==True,21,0.38095238095238093,-0.23833333333333329,-205.92999999999995,7,28.980217655783875,-0.06903651115618648,-3576.11
smc_1h,==bullish,78,0.5256410256410257,-0.18141025641025632,-919.5899999999999,8,27.613751363247825,-0.05708715596330283,-2862.4500000000003
