feature,split,n,wr,edge,pnl,n_weeks,worst_wk_share
liq_bias,<-0.9829(q0.5),59,0.864406779661017,0.15932203389830535,773.79,6,25.712402589849965
liq_bias,>=-0.5977(q0.6),47,0.8085106382978723,0.10872340425531923,332.78999999999996,6,36.08264438009213
liq_bias,<-0.5977(q0.6),71,0.8450704225352113,0.1363380281690143,803.2200000000001,6,34.33803939144941
liq_bias,>=0.8647(q0.7),36,0.7777777777777778,0.0672222222222223,179.99,6,32.774400578518
liq_bias,<0.8647(q0.7),82,0.8536585365853658,0.1508536585365854,956.02,6,38.833915608460075
liq_bias,>=0.9999(q0.8),24,0.7916666666666666,0.08124999999999993,151.23000000000002,5,40.31857897954046
liq_bias,<0.9999(q0.8),94,0.8404255319148937,0.136595744680851,984.78,6,38.440906237516415
liq_bias,>=1(q0.9),24,0.7916666666666666,0.08124999999999993,151.23000000000002,5,40.31857897954046
liq_bias,<1(q0.9),94,0.8404255319148937,0.136595744680851,984.78,6,38.440906237516415
ls_long_pct,>=68.51(q0.1),106,0.839622641509434,0.1300943396226416,1126.5399999999997,6,40.00635402783374
ls_long_pct,<68.51(q0.1),12,0.75,0.08333333333333337,9.469999999999999,4,48.29436979935881
ls_long_pct,>=69.64(q0.2),94,0.851063829787234,0.13957446808510643,1047.74,6,43.29621119366686
ls_long_pct,<69.64(q0.2),24,0.75,0.06958333333333344,88.27000000000001,5,35.59609673313535
ls_long_pct,>=70.12(q0.3),82,0.8536585365853658,0.14073170731707318,930.99,6,44.53633495031319
ls_long_pct,<70.12(q0.3),36,0.7777777777777778,0.09027777777777779,205.01999999999998,6,37.35400386522141
ls_long_pct,>=71.51(q0.4),71,0.8732394366197183,0.1588732394366198,856.3900000000001,5,50.998429664150756
ls_long_pct,<71.51(q0.4),47,0.7659574468085106,0.07468085106382971,279.62,6,44.09033450019448
ls_long_pct,>=72.03(q0.5),59,0.847457627118644,0.13305084745762696,586.72,4,43.37143273150845
ls_long_pct,<72.03(q0.5),59,0.8135593220338984,0.11762711864406783,549.29,6,29.448440468265435
ls_long_pct,>=72.34(q0.6),47,0.8723404255319149,0.16297872340425523,605.9100000000001,4,48.353639415091926
ls_long_pct,<72.34(q0.6),71,0.8028169014084507,0.10042253521126765,530.1,6,30.39550863080275
ls_long_pct,>=73.42(q0.7),36,0.8611111111111112,0.15111111111111108,415.07,3,56.41274341565321
ls_long_pct,<73.42(q0.7),82,0.8170731707317073,0.11402439024390232,720.9399999999999,6,42.40292556568554
ls_long_pct,>=74.42(q0.8),24,0.8333333333333334,0.125,235.0,3,67.56819114027893
ls_long_pct,<74.42(q0.8),94,0.8297872340425532,0.12542553191489347,901.01,6,34.51183844730832
ls_long_pct,>=75.52(q0.9),12,0.8333333333333334,0.10000000000000009,81.47999999999999,3,53.20005858230815
ls_long_pct,<75.52(q0.9),106,0.8301886792452831,0.1282075471698113,1054.53,6,39.57079018490273
oi_chg_pct,>=-0.147(q0.1),106,0.8490566037735849,0.14584905660377356,1159.7300000000002,6,36.58523966785373
oi_chg_pct,<-0.147(q0.1),12,0.6666666666666666,-0.0558333333333334,-23.72,5,41.3594677216328
oi_chg_pct,>=-0.05704(q0.2),94,0.8723404255319149,0.16638297872340435,1176.1100000000004,6,41.16782414097789
oi_chg_pct,<-0.05704(q0.2),24,0.6666666666666666,-0.03541666666666676,-40.10000000000001,6,50.13111315064901
oi_chg_pct,>=-0.01387(q0.3),82,0.8658536585365854,0.16756097560975614,1035.4,6,42.43963685532162
oi_chg_pct,<-0.01387(q0.3),36,0.75,0.029166666666666563,100.61000000000001,6,27.411475234461363
oi_chg_pct,>=0.00422(q0.4),71,0.8450704225352113,0.15535211267605642,849.2500000000001,6,46.451598384174815
oi_chg_pct,<0.00422(q0.4),47,0.8085106382978723,0.08000000000000007,286.76,6,32.88015537529989
oi_chg_pct,>=0.01905(q0.5),59,0.847457627118644,0.1579661016949152,725.8000000000001,6,43.88676413632842
oi_chg_pct,<0.01905(q0.5),59,0.8135593220338984,0.09271186440677981,410.21000000000004,6,35.2000732953114
oi_chg_pct,>=0.04208(q0.6),47,0.8297872340425532,0.1372340425531915,494.09000000000003,6,40.25296858340515
oi_chg_pct,<0.04208(q0.6),71,0.8309859154929577,0.11746478873239452,641.9200000000001,6,32.670485394722554
oi_chg_pct,>=0.07125(q0.7),36,0.8055555555555556,0.12222222222222223,336.0799999999999,5,34.14822892117204
oi_chg_pct,<0.07125(q0.7),82,0.8414634146341463,0.12670731707317073,799.9300000000001,6,37.174708319388834
oi_chg_pct,>=0.1333(q0.8),24,0.7916666666666666,0.11749999999999994,159.85000000000002,5,51.387142513175846
oi_chg_pct,<0.1333(q0.8),94,0.8404255319148937,0.12734042553191494,976.16,6,31.09152633395988
oi_chg_pct,>=0.2083(q0.9),12,0.75,0.07583333333333331,-9.77000000000001,4,52.56794406770751
oi_chg_pct,<0.2083(q0.9),106,0.839622641509434,0.13094339622641493,1145.7800000000002,6,41.307180916874245
ob_imbalance,>=-0.5656(q0.5),60,0.8166666666666667,0.10816666666666686,585.04,6,29.930501283912026
ob_imbalance,<-0.5656(q0.5),59,0.847457627118644,0.14694915254237284,580.34,6,41.4223759332455
ob_imbalance,>=-0.3102(q0.6),48,0.7916666666666666,0.09999999999999987,455.54999999999995,6,28.909455204656048
ob_imbalance,<-0.3102(q0.6),71,0.8591549295774648,0.14591549295774653,709.83,6,45.14001460161113
ob_imbalance,>=-0.1802(q0.7),36,0.7777777777777778,0.08833333333333337,330.27,6,34.79274532957882
ob_imbalance,<-0.1802(q0.7),83,0.8554216867469879,0.14433734939759035,835.11,6,42.56258933099728
ob_imbalance,>=-0.06928(q0.8),24,0.7916666666666666,0.09750000000000014,265.21999999999997,5,43.326295151195225
ob_imbalance,<-0.06928(q0.8),95,0.8421052631578947,0.13494736842105248,900.16,6,44.03615393576949
ob_imbalance,>=0.1155(q0.9),12,0.6666666666666666,-0.0641666666666667,-12.269999999999989,3,44.661776691116536
ob_imbalance,<0.1155(q0.9),107,0.8504672897196262,0.1488785046728971,1177.65,6,41.49407273457906
ob_path_ask_usd,>=6.58e+05(q0.1),107,0.8317757009345794,0.11971962616822418,963.43,6,45.98895177810355
ob_path_ask_usd,<6.58e+05(q0.1),12,0.8333333333333334,0.19583333333333341,201.95,4,58.39820556801689
ob_path_ask_usd,>=9.309e+05(q0.2),95,0.8631578947368421,0.14463157894736822,1020.63,6,43.9888117057109
ob_path_ask_usd,<9.309e+05(q0.2),24,0.7083333333333334,0.0591666666666667,144.75,6,36.442879154743565
ob_path_ask_usd,>=1.285e+06(q0.3),83,0.8795180722891566,0.1614457831325301,938.5899999999999,6,46.992124726760956
ob_path_ask_usd,<1.285e+06(q0.3),36,0.7222222222222222,0.04888888888888887,226.79,6,34.7431406142123
ob_path_ask_usd,>=1.623e+06(q0.4),71,0.8732394366197183,0.15690140845070422,758.61,6,42.069131639166564
ob_path_ask_usd,<1.623e+06(q0.4),48,0.7708333333333334,0.08374999999999999,406.77,6,25.728764236616332
ob_path_ask_usd,>=2.439e+06(q0.5),60,0.85,0.14766666666666672,586.74,6,46.76547140727264
ob_path_ask_usd,<2.439e+06(q0.5),59,0.8135593220338984,0.10677966101694936,578.64,6,26.35503551534086
ob_path_ask_usd,>=3.529e+06(q0.6),48,0.8333333333333334,0.14520833333333338,456.11,6,42.541386044644
ob_path_ask_usd,<3.529e+06(q0.6),71,0.8309859154929577,0.11535211267605638,709.27,6,34.99833170623201
ob_path_ask_usd,>=4.636e+06(q0.7),36,0.8055555555555556,0.10972222222222228,213.76000000000005,5,40.02711496746204
ob_path_ask_usd,<4.636e+06(q0.7),83,0.8433734939759037,0.1350602409638556,951.62,6,36.20730294042545
ob_path_ask_usd,>=5.267e+06(q0.8),24,0.7916666666666666,0.09041666666666659,137.19,5,35.99523241954708
ob_path_ask_usd,<5.267e+06(q0.8),95,0.8421052631578947,0.13673684210526305,1028.19,6,37.91000331859399
ob_path_ask_usd,>=6.43e+06(q0.9),12,0.9166666666666666,0.22249999999999992,198.51,4,48.06874141569797
ob_path_ask_usd,<6.43e+06(q0.9),107,0.822429906542056,0.11672897196261678,966.87,6,35.3831113979556
ob_path_bid_usd,==0.0,119,0.8319327731092437,0.12739495798319322,1165.38,6,41.907336158054505
ob_ask_frac,>=0.0007406(q0.1),107,0.8130841121495327,0.10607476635514002,895.1300000000001,6,36.31684568433968
ob_ask_frac,<0.0007406(q0.1),12,1.0,0.3174999999999999,270.25,3,61.80203515263645
ob_ask_frac,>=0.001773(q0.2),95,0.8421052631578947,0.1251578947368419,998.1999999999999,6,29.95883949223232
ob_ask_frac,<0.001773(q0.2),24,0.7916666666666666,0.13624999999999998,167.17999999999998,5,39.193939901230436
ob_ask_frac,>=0.002783(q0.3),83,0.8313253012048193,0.11493975903614462,813.2,6,35.13699980287798
ob_ask_frac,<0.002783(q0.3),36,0.8333333333333334,0.1561111111111112,352.18000000000006,6,44.02198396251914
ob_ask_frac,>=0.003784(q0.4),71,0.8169014084507042,0.10661971830985917,604.9,6,40.76332874286838
ob_ask_frac,<0.003784(q0.4),48,0.8541666666666666,0.15812499999999985,560.48,6,40.36004852983157
ob_ask_frac,>=0.004343(q0.5),60,0.8166666666666667,0.11133333333333328,485.8599999999998,6,33.35912742280197
ob_ask_frac,<0.004343(q0.5),59,0.847457627118644,0.1437288135593221,679.52,6,36.01071344478456
ob_ask_frac,>=0.005734(q0.6),48,0.7916666666666666,0.08562499999999995,311.01,6,35.2822909308265
ob_ask_frac,<0.005734(q0.6),71,0.8591549295774648,0.15563380281690153,854.37,6,37.63006659878039
ob_ask_frac,>=0.006943(q0.7),36,0.8333333333333334,0.13250000000000006,359.4,5,37.165931027792595
ob_ask_frac,<0.006943(q0.7),83,0.8313253012048193,0.12518072289156623,805.9799999999999,6,44.29261627055781
ob_ask_frac,>=0.009023(q0.8),24,0.7916666666666666,0.1004166666666666,190.01999999999995,4,44.81691368788143
ob_ask_frac,<0.009023(q0.8),95,0.8421052631578947,0.13421052631578922,975.36,6,44.80882183577105
ob_ask_frac,>=0.01252(q0.9),12,0.8333333333333334,0.11333333333333329,103.28,3,55.67389620449264
ob_ask_frac,<0.01252(q0.9),107,0.8317757009345794,0.12897196261682242,1062.1000000000001,6,42.79347922388588
