decision_time,ticker,win,would_pnl,net_move_pct,mae_pct,touched_strike,path_rv,reversals,n_bars,monotonic_frac,pre_rv5,pre_rv15,pre_rev5,pre_rev15,pre_maxdd5,episode
2026-07-03 09:08:50.538031+00:00,KXBTC15M-26JUL030515-15,1.0,18.02,0.2652014331769478,0.1514418090855416,False,0.0003288155298224,3,7,0.4285714285714285,0.00024727254600779663,0.00021710493351782684,5,12,0.0,20
2026-07-03 09:49:26.832089+00:00,KXBTC15M-26JUL030600-00,1.0,27.65,0.1062527188055799,0.1062527188055799,False,5.063268858051146e-05,3,11,0.0,0.0003414404384979837,0.0002899932924946151,3,6,0.0,20
2026-07-03 11:46:08.791307+00:00,KXBTC15M-26JUL030800-00,1.0,54.9,0.3069909457813559,0.2303922590288869,False,0.0004220466509395,9,14,0.1428571428571428,0.0,0.00022580376767182965,1,9,0.0,21
2026-07-03 12:06:24.625998+00:00,KXBTC15M-26JUL030815-15,1.0,20.74,0.1281285164510645,0.0632514416198449,False,0.0004497720899535,7,9,0.3333333333333333,0.0005200197141819852,0.00039735822184034785,3,9,0.0,21
2026-07-03 14:18:27.966937+00:00,KXBTC15M-26JUL031030-30,1.0,30.87,0.2073299076256235,-0.0099833327153351,False,0.0005039923660659,7,12,0.4166666666666667,0.0011057719520166666,0.0007574267171828235,3,11,-0.18786871174470604,22
2026-07-03 16:09:21.598275+00:00,KXBTC15M-26JUL031215-15,1.0,23.5,0.0237183386318613,0.0237183386318613,False,0.000631266868216,3,5,0.2,0.00030011757683059,0.0002208458135889111,4,9,-0.005181274390121435,23
2026-07-03 16:18:50.406300+00:00,KXBTC15M-26JUL031230-30,1.0,23.46,0.2659742400637903,0.0787425861901104,False,0.000480483357621,9,12,0.5,0.00027602393749579424,0.0004159944742379815,3,10,0.0,23
2026-07-03 17:04:21.203708+00:00,KXBTC15M-26JUL031315-15,1.0,24.01,0.1874402203513859,0.1752967840531247,False,0.0003781735257637,6,11,0.2727272727272727,0.0004954132829079265,0.0003791376822469888,4,9,0.0,24
2026-07-03 17:39:46.315331+00:00,KXBTC15M-26JUL031345-45,1.0,9.63,0.0892941858432969,0.0660394027179686,False,0.0002754732225622,3,6,0.3333333333333333,0.0003423333832475835,0.00046604994549201173,3,10,0.0,24
2026-07-03 18:35:26.985878+00:00,KXBTC15M-26JUL031445-45,1.0,22.09,0.1210339575336408,0.0706041475944121,False,0.0002564297674023,7,9,0.2222222222222222,0.00014429497298263692,0.0002511268636626803,4,8,-0.01659164520631632,25
2026-07-03 19:20:58.562448+00:00,KXBTC15M-26JUL031530-30,1.0,19.95,0.0259163147616591,0.0049984266403872,False,0.0002874902624166,7,10,0.2,0.0005542944028890831,0.00038128540815034824,5,12,0.0,26
2026-07-03 20:47:03.556475+00:00,KXBTC15M-26JUL031700-00,1.0,57.12,0.1789061694481354,0.088616481117854,False,0.0004945820351221,6,12,0.3333333333333333,0.0007215308494772035,0.0009398102056732575,4,9,0.0,27
2026-07-03 21:46:13.404481+00:00,KXBTC15M-26JUL031800-00,1.0,33.17,0.2759693064137513,0.1377358841911682,False,0.0003936069694803,11,14,0.2857142857142857,0.0004251696753808129,0.0004566518300561305,3,8,-0.028477389719629886,28
