logged_at,contract_ticker,spot,strike,p_market,tau_minutes,realized_vol_annual,resolved_yes,pu_ts,p_up_v2,effective,p_sc,p_model_yes,p_model_no,edge_yes,edge_no,best_side,best_edge,win,cost,day
2026-07-09 16:40:24+00:00,KXBTC15M-26JUL091245-45,62711.15,62646.91,0.9065,4.6,0.52218,1.0,2026-07-09 16:33:45+00:00,0.4336,2026-07-09 16:30:00+00:00,0.5819209039548022,0.8434838963951123,0.15927856383434325,-0.06301610360488763,0.06577856383434322,no,0.06577856383434322,0.0,0.09350000000000003,2026-07-09
2026-07-03 20:57:33+00:00,KXBTC15M-26JUL031700-00,62679.38,62655.63,0.755,2.4,0.520901,1.0,2026-07-03 20:25:25+00:00,0.4904,2026-07-03 20:45:00+00:00,0.4151593453919035,0.6866206677560375,0.31034742302839147,-0.06837933224396253,0.06534742302839147,no,0.06534742302839147,0.0,0.245,2026-07-03
2026-07-06 17:23:39+00:00,KXBTC15M-26JUL061330-30,63854.28,63816.43,0.735,6.3,0.653139,1.0,2026-07-06 15:40:58+00:00,0.4541,2026-07-06 17:00:00+00:00,0.571072319201995,0.6740028586614363,0.330190894595071,-0.06099714133856371,0.06519089459507099,no,0.06519089459507099,0.0,0.265,2026-07-06
2026-07-04 01:31:37+00:00,KXBTC15M-26JUL032145-45,62464.73,62417.23,0.785,13.4,0.425426,0.0,2026-07-04 01:02:06+00:00,0.7114,2026-07-04 01:30:00+00:00,0.5848375451263538,0.7265890192282521,0.28019048203102925,-0.05841098077174789,0.06519048203102928,no,0.06519048203102928,1.0,0.21499999999999997,2026-07-04
2026-07-08 14:41:20+00:00,KXBTC15M-26JUL081045-45,61896.37,61976.48,0.097,3.7,0.776887,0.0,2026-07-08 14:20:41+00:00,0.4282,2026-07-08 14:30:00+00:00,0.3661270236612702,0.1617082792834707,0.8340936811963016,0.0647082792834707,-0.06890631880369846,yes,0.0647082792834707,0.0,0.097,2026-07-08
2026-07-07 03:02:53+00:00,KXBTC15M-26JUL062315-15,63288.02,63278.79,0.625,12.1,0.351355,1.0,2026-07-07 02:45:36+00:00,0.5398,2026-07-07 03:00:00+00:00,0.4650817236255572,0.5575064375403103,0.43938785677146486,-0.06749356245968974,0.06438785677146486,no,0.06438785677146486,0.0,0.375,2026-07-07
2026-07-08 15:27:11+00:00,KXBTC15M-26JUL081130-30,61516.5,61590.95,0.0795,2.8,0.719573,1.0,2026-07-08 15:05:42+00:00,0.4282,2026-07-08 15:15:00+00:00,0.487750556792873,0.14348945484580478,0.8562100509659432,0.06398945484580477,-0.06428994903405683,yes,0.06398945484580477,1.0,0.0795,2026-07-08
2026-07-02 17:21:44+00:00,KXBTC15M-26JUL021330-30,61807.05,61733.66,0.805,8.3,0.636464,1.0,2026-07-02 17:13:17+00:00,0.5985,2026-07-02 17:15:00+00:00,0.4355942750466708,0.7376023489898467,0.25848189781258835,-0.06739765101015338,0.0634818978125884,no,0.0634818978125884,0.0,0.19499999999999995,2026-07-02
2026-07-05 07:02:26+00:00,KXBTC15M-26JUL050315-15,62734.99,62728.74,0.665,12.6,0.130958,0.0,2026-07-05 07:02:14+00:00,0.4336,2026-07-05 07:00:00+00:00,0.4853999153618282,0.6011470535986263,0.3975583386244482,-0.06385294640137373,0.06255833862444826,no,0.06255833862444826,1.0,0.33499999999999996,2026-07-05
2026-07-07 19:57:02+00:00,KXBTC15M-26JUL071600-00,63778.09,63761.63,0.705,3.0,0.448535,1.0,2026-07-07 19:35:17+00:00,0.5057,2026-07-07 19:45:00+00:00,0.4355942750466708,0.6397913905975056,0.3574986868472052,-0.0652086094024944,0.062498686847205165,no,0.062498686847205165,0.0,0.29500000000000004,2026-07-07
2026-07-08 03:09:18+00:00,KXBTC15M-26JUL072315-15,62955.83,62929.95,0.705,5.7,0.46797,1.0,2026-07-08 02:54:39+00:00,0.4165,2026-07-08 03:00:00+00:00,0.3661270236612702,0.6347248455392239,0.357375141711312,-0.07027515446077603,0.06237514171131198,no,0.06237514171131198,0.0,0.29500000000000004,2026-07-08
2026-07-03 17:39:46+00:00,KXBTC15M-26JUL031345-45,62180.76,62141.32,0.875,5.2,0.323397,1.0,2026-07-03 16:21:36+00:00,0.6029,2026-07-03 17:30:00+00:00,0.5040756439517444,0.8131244292915232,0.18703718467638697,-0.061875570708476824,0.06203718467638697,no,0.06203718467638697,0.0,0.125,2026-07-03
2026-07-03 09:24:03+00:00,KXBTC15M-26JUL030530-30,61628.91,61631.73,0.545,5.9,0.227742,0.0,2026-07-03 09:14:52+00:00,0.6358,2026-07-03 09:15:00+00:00,0.5741538461538461,0.4877729008290713,0.5169017177249914,-0.05722709917092872,0.06190171772499142,no,0.06190171772499142,1.0,0.45499999999999996,2026-07-03
2026-07-10 02:04:21+00:00,KXBTC15M-26JUL092215-15,63699.13,63673.27,0.635,10.6,0.798853,1.0,2026-07-10 01:29:44+00:00,0.4965,2026-07-10 02:00:00+00:00,0.4491279069767442,0.5691094113764754,0.4266709826061046,-0.06589058862352459,0.061670982606104596,no,0.061670982606104596,0.0,0.365,2026-07-10
2026-07-08 06:47:45+00:00,KXBTC15M-26JUL080300-00,62508.34,62489.83,0.705,12.2,0.254417,1.0,2026-07-08 06:28:31+00:00,0.5531,2026-07-08 06:45:00+00:00,0.4752475247524752,0.641574527004906,0.35633604535137375,-0.06342547299509393,0.061336045351373714,no,0.061336045351373714,0.0,0.29500000000000004,2026-07-08
2026-07-02 20:34:55+00:00,KXBTC15M-26JUL021645-45,61332.91,61338.14,0.55,10.1,0.374805,0.0,2026-07-02 19:43:23+00:00,0.6869,2026-07-02 20:30:00+00:00,0.5834564254062038,0.49654296632701944,0.5103548171732686,-0.0534570336729806,0.06035481717326863,no,0.06035481717326863,1.0,0.44999999999999996,2026-07-02
2026-07-06 16:22:42+00:00,KXBTC15M-26JUL061230-30,63604.35,63784.86,0.115,7.3,1.092201,0.0,2026-07-06 15:40:58+00:00,0.4541,2026-07-06 16:15:00+00:00,0.5528455284552846,0.1750230102220287,0.8273559213981392,0.0600230102220287,-0.057644078601860826,yes,0.0600230102220287,0.0,0.115,2026-07-06
2026-07-03 16:18:50+00:00,KXBTC15M-26JUL031230-30,61923.29,61887.07,0.745,11.2,0.423143,1.0,2026-07-03 16:18:00+00:00,0.6029,2026-07-03 16:15:00+00:00,0.5543613063249276,0.6891895849128937,0.3149941493498083,-0.05581041508710627,0.05999414934980829,no,0.05999414934980829,0.0,0.255,2026-07-03
2026-07-04 18:09:15+00:00,KXBTC15M-26JUL041415-15,63185.3,63248.42,0.0935,5.7,0.426084,1.0,2026-07-04 18:07:13+00:00,0.4778,2026-07-04 17:00:00+00:00,0.4832402234636871,0.15332996372360408,0.8460563559411396,0.05982996372360408,-0.06044364405886038,yes,0.05982996372360408,1.0,0.0935,2026-07-04
2026-07-05 19:38:51+00:00,KXBTC15M-26JUL051545-45,62751.96,62722.31,0.855,6.1,0.237071,1.0,2026-07-05 19:36:47+00:00,0.515,2026-07-05 19:30:00+00:00,0.5009881422924901,0.7953705630070653,0.20467427027485285,-0.05962943699293466,0.059674270274852836,no,0.059674270274852836,0.0,0.14500000000000002,2026-07-05
2026-07-04 19:17:40+00:00,KXBTC15M-26JUL041530-30,63168.02,63118.85,0.825,12.3,0.317972,1.0,2026-07-04 18:20:10+00:00,0.4778,2026-07-04 19:15:00+00:00,0.5093555093555093,0.7661915407311266,0.23445976008212077,-0.05880845926887335,0.05945976008212073,no,0.05945976008212073,0.0,0.17500000000000004,2026-07-04
2026-07-09 21:31:01+00:00,KXBTC15M-26JUL091745-45,63209.19,63203.1,0.635,14.0,0.224894,0.0,2026-07-09 21:27:26+00:00,0.4436,2026-07-09 21:30:00+00:00,0.5741538461538461,0.5828149697472205,0.42424785881649396,-0.05218503025277954,0.05924785881649397,no,0.05924785881649397,1.0,0.365,2026-07-09
2026-07-01 22:54:42+00:00,KXBTC15M-26JUL011900-00,60375.66,60423.84,0.245,5.3,0.651346,0.0,2026-07-01 21:26:44+00:00,0.5034,2026-07-01 22:45:00+00:00,0.5718540580789278,0.30366707701229556,0.7000857628243257,0.058667077012295565,-0.05491423717567434,yes,0.058667077012295565,0.0,0.245,2026-07-01
2026-07-04 11:31:38+00:00,KXBTC15M-26JUL040745-45,62428.94,62424.01,0.665,13.4,0.118021,1.0,2026-07-04 11:27:31+00:00,0.6029,2026-07-04 11:30:00+00:00,0.5834564254062038,0.6140216841418916,0.3936194561051818,-0.050978315858108414,0.05861945610518182,no,0.05861945610518182,0.0,0.33499999999999996,2026-07-04
2026-07-04 08:33:31+00:00,KXBTC15M-26JUL040445-45,62514.43,62506.92,0.695,11.5,0.109099,1.0,2026-07-04 08:08:45+00:00,0.6029,2026-07-04 08:30:00+00:00,0.4597701149425287,0.6330988988335834,0.36357589456320416,-0.06190110116641656,0.05857589456320411,no,0.05857589456320411,0.0,0.30500000000000005,2026-07-04
2026-07-04 00:56:01+00:00,KXBTC15M-26JUL032100-00,62712.07,62662.66,0.9615,4.0,0.335394,1.0,2026-07-04 00:33:28+00:00,0.5228,2026-07-04 00:45:00+00:00,0.5741538461538461,0.9046948919650935,0.0969511152857484,-0.05680510803490657,0.05845111528574842,no,0.05845111528574842,0.0,0.03849999999999998,2026-07-04
