effective,trend,rev,p_pooled,p_rc,p_bull,p_sdwy,p_bear
2026-06-25 02:30:00+00:00,2.0,0.0,0.455456570155902,0.5059543767482019,6.325471044340486e-27,0.999999991467064,8.53294394917181e-09
2026-06-25 02:45:00+00:00,-4.0,0.0,0.5460717749757517,0.5471373026070206,6.325471044340486e-27,0.999999991467064,8.53294394917181e-09
2026-06-25 03:00:00+00:00,-6.0,1.0,0.5915190552871712,0.5891621639946351,5.121629278776682e-26,0.9999999783794636,2.162054801630719e-08
2026-06-25 03:15:00+00:00,-3.0,1.0,0.5535917901938426,0.5195404660898384,5.121629278776682e-26,0.9999999783794636,2.162054801630719e-08
2026-06-25 03:30:00+00:00,3.0,0.0,0.44529914529914527,0.46042619978964944,5.121629278776682e-26,0.9999999783794636,2.162054801630719e-08
2026-06-25 03:45:00+00:00,-3.0,0.0,0.5505163897620117,0.5675170691467177,5.121629278776682e-26,0.9999999783794636,2.162054801630719e-08
2026-06-25 04:00:00+00:00,2.0,-1.0,0.43465304384844616,0.4881975570849732,7.598760301735561e-25,0.9999999409579932,5.9042012547355044e-08
2026-06-25 04:15:00+00:00,2.0,-1.0,0.43465304384844616,0.4881975570849732,7.598760301735561e-25,0.9999999409579932,5.9042012547355044e-08
2026-06-25 04:30:00+00:00,4.0,-2.0,0.44770642201834865,0.4302511497500192,7.598760301735561e-25,0.9999999409579932,5.9042012547355044e-08
2026-06-25 04:45:00+00:00,4.0,-1.0,0.4189189189189189,0.43761560808840005,7.598760301735561e-25,0.9999999409579932,5.9042012547355044e-08
2026-06-25 05:00:00+00:00,6.0,-3.0,0.48055207026348806,0.5134400963397373,1.419151611320697e-21,0.9999994601520578,5.398479548439784e-07
2026-06-25 05:15:00+00:00,6.0,-1.0,0.42933884297520664,0.4776972953616107,1.419151611320697e-21,0.9999994601520578,5.398479548439784e-07
2026-06-25 05:30:00+00:00,6.0,0.0,0.40702781844802344,0.48074849955105264,1.419151611320697e-21,0.9999994601520578,5.398479548439784e-07
2026-06-25 05:45:00+00:00,5.0,0.0,0.43911917098445596,0.4428647032506913,1.419151611320697e-21,0.9999994601520578,5.398479548439784e-07
2026-06-25 06:00:00+00:00,6.0,-1.0,0.42933884297520664,0.4776972649223681,2.3631869214028962e-20,0.9999987444506568,1.2555493390468905e-06
2026-06-25 06:15:00+00:00,6.0,-1.0,0.42933884297520664,0.4776972649223681,2.3631869214028962e-20,0.9999987444506568,1.2555493390468905e-06
2026-06-25 06:30:00+00:00,4.0,0.0,0.4511784511784512,0.4245908194612593,2.3631869214028962e-20,0.9999987444506568,1.2555493390468905e-06
2026-06-25 06:45:00+00:00,4.0,-1.0,0.4189189189189189,0.43761558846603726,2.3631869214028962e-20,0.9999987444506568,1.2555493390468905e-06
2026-06-25 07:00:00+00:00,4.0,-1.0,0.4189189189189189,0.4376154951771743,4.27984511336533e-18,0.999993056000741,6.943999246500775e-06
2026-06-25 07:15:00+00:00,4.0,-1.0,0.4189189189189189,0.4376154951771743,4.27984511336533e-18,0.999993056000741,6.943999246500775e-06
2026-06-25 07:30:00+00:00,3.0,0.0,0.44529914529914527,0.46042616304618394,4.27984511336533e-18,0.999993056000741,6.943999246500775e-06
2026-06-25 07:45:00+00:00,4.0,-2.0,0.44770642201834865,0.43025145608846455,4.27984511336533e-18,0.999993056000741,6.943999246500775e-06
2026-06-25 08:00:00+00:00,3.0,0.0,0.44529914529914527,0.460426137022879,3.294565614942825e-17,0.9999881532710332,1.184672897104584e-05
2026-06-25 08:15:00+00:00,1.0,0.0,0.474792243767313,0.4868761496517087,3.294565614942825e-17,0.9999881532710332,1.184672897104584e-05
2026-06-25 08:30:00+00:00,-2.0,1.0,0.5506030414263241,0.5318921745152576,3.294565614942825e-17,0.9999881532710332,1.184672897104584e-05
2026-06-25 08:45:00+00:00,-3.0,1.0,0.5535917901938426,0.5195408854620494,3.294565614942825e-17,0.9999881532710332,1.184672897104584e-05
2026-06-25 09:00:00+00:00,-3.0,1.0,0.5535917901938426,0.5195405580813881,2.3945132052696997e-19,0.9999973844783012,2.6155217066196965e-06
2026-06-25 09:15:00+00:00,-1.0,0.0,0.49305169538632576,0.5126791544427325,2.3945132052696997e-19,0.9999973844783012,2.6155217066196965e-06
