decision_time,ticker,win,would_pnl,net_move_pct,mae_pct,touched_strike,path_rv,reversals,n_bars,monotonic_frac,pre_rv5,pre_rv15,pre_rev5,pre_rev15,pre_maxdd5,episode,ts,rv,ts2,er
2026-07-02 05:10:06.883018+00:00,KXBTC15M-26JUL020115-15,1.0,33.0,0.0169347570523584,0.0169347570523584,False,0.000575291205627,4,5,0.2,0.0008340199402282,0.0006589076011731,4,7,0.0,8,2026-07-02 05:10:00+00:00,1.2803674363796598,2026-07-02 05:10:00+00:00,0.13092991358719022
2026-07-02 05:35:30.314669+00:00,KXBTC15M-26JUL020145-45,0.0,-77.77,-0.195471528259194,-0.195471528259194,True,0.000702192681208,7,10,0.5,0.0003377977386607,0.0003009331475018,4,11,0.0,8,2026-07-02 05:35:00+00:00,0.898472730685582,2026-07-02 05:35:00+00:00,0.07366029817876235
2026-07-02 06:21:10.931777+00:00,KXBTC15M-26JUL020230-30,1.0,17.36,0.1121673762600359,0.0884186344530709,False,0.0003709545235684,5,9,0.2222222222222222,0.000874416944607,0.0005311036741836,5,12,-0.0442580953433534,9,2026-07-02 06:21:00+00:00,0.7671380051663057,2026-07-02 06:21:00+00:00,0.17847776351766098
2026-07-02 06:31:22.448911+00:00,KXBTC15M-26JUL020245-45,1.0,23.85,-0.0080219581047017,-0.0080219581047017,False,0.0006093395542532,10,14,0.3571428571428571,0.0,0.0005653893248893,1,11,0.0,9,2026-07-02 06:31:00+00:00,0.7795274226785212,2026-07-02 06:31:00+00:00,0.1580967700659881
2026-07-02 09:54:26.362313+00:00,KXBTC15M-26JUL020600-00,1.0,22.22,-0.0730501024973561,-0.0730501024973561,False,0.0008329475740372,3,5,0.8,0.0007320406865006,0.0011492666458286,2,6,0.0,10,2026-07-02 09:54:00+00:00,1.0242282940793621,2026-07-02 09:54:00+00:00,0.384456337102047
2026-07-02 10:35:10.675548+00:00,KXBTC15M-26JUL020645-45,1.0,25.38,0.0318404377519722,-0.0857264673746642,False,0.0007737083240163,6,10,0.4,0.0002907547672949,0.0004684042437453,2,9,0.0,10,2026-07-02 10:35:00+00:00,1.180161377079332,2026-07-02 10:35:00+00:00,0.25419309930233386
2026-07-02 10:50:25.053854+00:00,KXBTC15M-26JUL020700-00,1.0,32.45,0.0929546454257824,0.0838048103124308,False,0.0004029654135948,8,10,0.5,0.000541815907579,0.0006535315384322,4,10,0.0,10,2026-07-02 10:50:00+00:00,1.2077125991567104,2026-07-02 10:50:00+00:00,0.22274967605991985
2026-07-02 11:26:02.827296+00:00,KXBTC15M-26JUL020730-30,1.0,47.79,0.1230255400843511,0.0702971360040641,False,0.0004807256720036,4,4,0.5,0.0002355370886567,0.0002926749807725,4,10,-0.0526473133968311,10,2026-07-02 11:26:00+00:00,1.1600986817254986,2026-07-02 11:26:00+00:00,0.22400017846842377
2026-07-02 12:32:08.290340+00:00,KXBTC15M-26JUL020845-45,1.0,26.8,0.1677594740652812,0.0142885434332139,False,0.0006485381286163,12,13,0.3846153846153846,0.0013998463535376,0.0011422455393682,3,12,-0.0122955497457839,11,2026-07-02 12:32:00+00:00,0.9874067564825489,2026-07-02 12:32:00+00:00,0.08537051552840852
2026-07-02 12:47:23.004579+00:00,KXBTC15M-26JUL020900-00,1.0,23.89,0.2833332870425891,0.1180068549166732,False,0.0008761225861337,11,13,0.5384615384615384,0.0003639694909676,0.0009595751234152,5,14,0.0,11,2026-07-02 12:47:00+00:00,1.0548941456385033,2026-07-02 12:47:00+00:00,0.07176910475938454
2026-07-02 13:07:38.922568+00:00,KXBTC15M-26JUL020915-15,1.0,13.35,0.184718196391249,-0.017833833513997,False,0.0004013029968528,3,7,0.8571428571428571,0.0002150071417558,0.0007208688958832,2,11,0.0,11,2026-07-02 13:07:00+00:00,1.1279812213706621,2026-07-02 13:07:00+00:00,0.12577752593887387
2026-07-02 13:17:48.283993+00:00,KXBTC15M-26JUL020930-30,0.0,-63.52,0.3667592910971236,-0.0301117179806097,False,0.0014864975538489,7,13,0.5384615384615384,0.0006776548630829,0.0005806299731019,4,7,0.0,11,2026-07-02 13:17:00+00:00,1.151334373936038,2026-07-02 13:17:00+00:00,0.12900536322266162
