logged_at,contract_ticker,spot,strike,p_market,tau_minutes,realized_vol_annual,resolved_yes,week,effective,p_sc,p_model_yes,p_model_no,edge_yes,edge_no,best_side,best_edge,win,cost,era
2026-07-06 19:10:19+00:00,KXBTC15M-26JUL061515-15,63664.23,63658.54,0.625,4.7,0.377687,1.0,2026-07-06/2026-07-12,2026-07-06 17:00:00+00:00,0.571072319201995,0.571345405440974,0.43259358545713633,-0.05365459455902599,0.05759358545713633,no,0.05759358545713633,0.0,0.375,07-01+ (s23 window)
2026-07-08 08:09:06+00:00,KXBTC15M-26JUL080415-15,62773.73,62842.17,0.275,5.9,0.272802,0.0,2026-07-06/2026-07-12,2026-07-08 08:00:00+00:00,0.274390243902439,0.20663861851147308,0.7824622928511857,-0.06836138148852694,0.05746229285118576,no,0.05746229285118576,1.0,0.725,07-01+ (s23 window)
2026-07-02 03:38:46+00:00,KXBTC15M-26JUL012345-45,60610.38,60504.7,0.942,6.2,0.603552,1.0,2026-06-29/2026-07-05,2026-07-02 03:30:00+00:00,0.4707317073170731,0.8837715456012569,0.1153077678299732,-0.058228454398743024,0.057307767829973155,no,0.057307767829973155,0.0,0.05800000000000005,07-01+ (s23 window)
2026-05-27 14:33:14+00:00,KXBTC15M-26MAY271045-45,74795.19,74716.98,0.745,11.8,0.798402,1.0,2026-05-25/2026-05-31,2026-05-27 14:30:00+00:00,0.6332899869960988,0.698306849865605,0.3123041940211383,-0.04669315013439501,0.05730419402113829,no,0.05730419402113829,0.0,0.255,pre-07-01 (held-out)
2026-07-04 14:03:57+00:00,KXBTC15M-26JUL041015-15,62573.93,62540.86,0.78,11.0,0.299316,1.0,2026-06-29/2026-07-05,2026-07-04 14:00:00+00:00,0.5600873998543335,0.7271899732590017,0.2771298615963995,-0.05281002674099833,0.057129861596399545,no,0.057129861596399545,0.0,0.21999999999999997,07-01+ (s23 window)
2026-07-03 16:09:21+00:00,KXBTC15M-26JUL031215-15,61908.64,61875.95,0.765,5.6,0.411844,1.0,2026-06-29/2026-07-05,2026-07-03 16:00:00+00:00,0.4512946979038224,0.7053354194078237,0.2920909141730671,-0.059664580592176275,0.05709091417306711,no,0.05709091417306711,0.0,0.235,07-01+ (s23 window)
2026-07-07 16:54:04+00:00,KXBTC15M-26JUL071300-00,64084.02,64003.69,0.835,5.9,0.658157,0.0,2026-07-06/2026-07-12,2026-07-07 16:45:00+00:00,0.4390243902439024,0.7750604995505654,0.22206427652431782,-0.059939500449434524,0.05706427652431778,no,0.05706427652431778,1.0,0.16500000000000004,07-01+ (s23 window)
2026-07-06 00:33:34+00:00,KXBTC15M-26JUL052045-45,63391.4,63392.26,0.555,11.4,0.451902,1.0,2026-07-06/2026-07-12,2026-07-06 00:30:00+00:00,0.5041291291291291,0.49832832721044806,0.5020316444591479,-0.056671672789551986,0.05703164445914799,no,0.05703164445914799,0.0,0.44499999999999995,07-01+ (s23 window)
2026-05-26 09:31:02+00:00,KXBTC15M-26MAY260545-45,76671.75,76656.23,0.665,14.0,0.216991,0.0,2026-05-25/2026-05-31,2026-05-26 09:30:00+00:00,0.4594703049759229,0.6042314230381914,0.391985900032768,-0.060768576961808596,0.056985900032768044,no,0.056985900032768044,1.0,0.33499999999999996,pre-07-01 (held-out)
2026-05-26 02:53:22+00:00,KXBTC15M-26MAY252300-00,76603.32,76529.41,0.9275,6.6,0.36335,1.0,2026-05-25/2026-05-31,2026-05-26 02:45:00+00:00,0.6332899869960988,0.8753320329675587,0.12937039882351353,-0.05216796703244131,0.056870398823513524,no,0.056870398823513524,0.0,0.07250000000000001,pre-07-01 (held-out)
2026-07-07 02:01:55+00:00,KXBTC15M-26JUL062215-15,63821.62,63805.76,0.635,13.1,0.419215,0.0,2026-07-06/2026-07-12,2026-07-07 02:00:00+00:00,0.4722222222222222,0.5756315157708622,0.4218189153319135,-0.05936848422913776,0.05681891533191352,no,0.05681891533191352,1.0,0.365,07-01+ (s23 window)
2026-07-06 01:23:28+00:00,KXBTC15M-26JUL052130-30,63697.38,63745.54,0.17,6.5,0.426229,0.0,2026-07-06/2026-07-12,2026-07-06 01:15:00+00:00,0.4446043165467626,0.22662357302219238,0.7706054772040865,0.05662357302219237,-0.05939452279591351,yes,0.05662357302219237,0.0,0.17,07-01+ (s23 window)
2026-05-24 06:08:31+00:00,KXBTC15M-26MAY240215-15,76749.18,76732.05,0.795,6.5,0.135023,1.0,2026-05-18/2026-05-24,2026-05-24 06:00:00+00:00,0.4470899470899471,0.7357290675599248,0.2614148186944403,-0.0592709324400752,0.056414818694440316,no,0.056414818694440316,0.0,0.20499999999999996,pre-07-01 (held-out)
2026-07-03 12:57:09+00:00,KXBTC15M-26JUL030900-00,61883.34,61861.7,0.875,2.8,0.236274,1.0,2026-06-29/2026-07-05,2026-07-03 12:45:00+00:00,0.5600873998543335,0.8203249649100046,0.1813922609093267,-0.05467503508999538,0.0563922609093267,no,0.0563922609093267,0.0,0.125,07-01+ (s23 window)
2026-05-24 15:10:36+00:00,KXBTC15M-26MAY241115-15,76412.95,76377.82,0.805,4.4,0.34478,1.0,2026-05-18/2026-05-24,2026-05-24 15:00:00+00:00,0.5543613063249276,0.7512375892116869,0.25111461216247255,-0.05376241078831312,0.0561146121624726,no,0.0561146121624726,0.0,0.19499999999999995,pre-07-01 (held-out)
2026-05-22 05:37:07+00:00,KXBTC15M-26MAY220145-45,77532.69,77523.74,0.665,7.9,0.225564,0.0,2026-05-18/2026-05-24,2026-05-22 05:30:00+00:00,0.6332899869960988,0.6183767567205886,0.39108055138371633,-0.046623243279411475,0.05608055138371637,no,0.05608055138371637,1.0,0.33499999999999996,pre-07-01 (held-out)
2026-06-02 01:54:29+00:00,KXBTC15M-26JUN012200-00,70787.04,70876.67,0.0725,5.5,0.449332,0.0,2026-06-01/2026-06-07,2026-06-02 01:45:00+00:00,0.6188212927756654,0.12851691350066174,0.875286068620887,0.05601691350066175,-0.05221393137911301,yes,0.05601691350066175,0.0,0.0725,pre-07-01 (held-out)
2026-07-02 16:46:10+00:00,KXBTC15M-26JUL021300-00,61422.53,61375.81,0.685,13.8,0.787916,1.0,2026-06-29/2026-07-05,2026-07-02 16:45:00+00:00,0.5484496124031008,0.6334764798481568,0.3709275480349792,-0.05152352015184325,0.055927548034979235,no,0.055927548034979235,0.0,0.31499999999999995,07-01+ (s23 window)
